cumm_scaff	cumm_genome_size	pipeline	method	ind
9128	658533382	wtdbg2 + Pilon	LR+pol	R07B-5
9126	658531673	wtdbg2 + Pilon	LR+pol	R07B-5
9077	658432823	wtdbg2 + Pilon	LR+pol	R07B-5
8025	653908955	wtdbg2 + Pilon	LR+pol	R07B-5
4892	631128884	wtdbg2 + Pilon	LR+pol	R07B-5
2605	598303043	wtdbg2 + Pilon	LR+pol	R07B-5
2048	578935252	wtdbg2 + Pilon	LR+pol	R07B-5
1557	543394717	wtdbg2 + Pilon	LR+pol	R07B-5
849	426669050	wtdbg2 + Pilon	LR+pol	R07B-5
312	236356915	wtdbg2 + Pilon	LR+pol	R07B-5
44	57818309	wtdbg2 + Pilon	LR+pol	R07B-5
1	2546623	wtdbg2 + Pilon	LR+pol	R07B-5
39545	622696981	Platanus + LINKS	SR+scaf	R07B-5
18210	608291503	Platanus + LINKS	SR+scaf	R07B-5
9651	595229863	Platanus + LINKS	SR+scaf	R07B-5
7786	589131507	Platanus + LINKS	SR+scaf	R07B-5
5575	575301364	Platanus + LINKS	SR+scaf	R07B-5
4038	551242807	Platanus + LINKS	SR+scaf	R07B-5
3107	517460534	Platanus + LINKS	SR+scaf	R07B-5
1946	433795286	Platanus + LINKS	SR+scaf	R07B-5
555	215280978	Platanus + LINKS	SR+scaf	R07B-5
90	57836403	Platanus + LINKS	SR+scaf	R07B-5
2	2245557	Platanus + LINKS	SR+scaf	R07B-5
16993	205556641	HASLR	hybrid	R07B-5
16993	205556641	HASLR	hybrid	R07B-5
16987	205550693	HASLR	hybrid	R07B-5
16549	204736870	HASLR	hybrid	R07B-5
13196	191895816	HASLR	hybrid	R07B-5
7702	152013000	HASLR	hybrid	R07B-5
1629	57699881	HASLR	hybrid	R07B-5
153	9497855	HASLR	hybrid	R07B-5
2	203433	HASLR	hybrid	R07B-5
10112	687428480	MaSuRCA	hybrid	R07B-5
9845	687247547	MaSuRCA	hybrid	R07B-5
9556	686736773	MaSuRCA	hybrid	R07B-5
8969	684583641	MaSuRCA	hybrid	R07B-5
8339	679871667	MaSuRCA	hybrid	R07B-5
6506	647240352	MaSuRCA	hybrid	R07B-5
4222	565666547	MaSuRCA	hybrid	R07B-5
2099	414866308	MaSuRCA	hybrid	R07B-5
460	165114394	MaSuRCA	hybrid	R07B-5
50	30515715	MaSuRCA	hybrid	R07B-5
1	1107993	MaSuRCA	hybrid	R07B-5
56123	1315427753	Canu + Pilon	LR+pol	R07B-5
55769	1314707350	Canu + Pilon	LR+pol	R07B-5
53476	1305863612	Canu + Pilon	LR+pol	R07B-5
43824	1229476113	Canu + Pilon	LR+pol	R07B-5
15554	773883867	Canu + Pilon	LR+pol	R07B-5
5004	412174325	Canu + Pilon	LR+pol	R07B-5
1044	145209427	Canu + Pilon	LR+pol	R07B-5
26	7762810	Canu + Pilon	LR+pol	R07B-5
195	8971564	SMARTdenovo + Pilon	LR+pol	R07B-5
195	8971564	SMARTdenovo + Pilon	LR+pol	R07B-5
191	8877589	SMARTdenovo + Pilon	LR+pol	R07B-5
63	3860550	SMARTdenovo + Pilon	LR+pol	R07B-5
3622	601252053	wtdbg2 + Pilon	LR+pol	P08H-3
3616	601240646	wtdbg2 + Pilon	LR+pol	P08H-3
3452	600558954	wtdbg2 + Pilon	LR+pol	P08H-3
2598	594434278	wtdbg2 + Pilon	LR+pol	P08H-3
1906	583641445	wtdbg2 + Pilon	LR+pol	P08H-3
1564	571377172	wtdbg2 + Pilon	LR+pol	P08H-3
1215	546518589	wtdbg2 + Pilon	LR+pol	P08H-3
765	471413966	wtdbg2 + Pilon	LR+pol	P08H-3
375	332058678	wtdbg2 + Pilon	LR+pol	P08H-3
89	133090647	wtdbg2 + Pilon	LR+pol	P08H-3
5	15211809	wtdbg2 + Pilon	LR+pol	P08H-3
20338	312968959	HASLR	hybrid	P08H-3
20329	312960010	HASLR	hybrid	P08H-3
20036	312316702	HASLR	hybrid	P08H-3
16085	297274205	HASLR	hybrid	P08H-3
9977	253092773	HASLR	hybrid	P08H-3
3348	148443605	HASLR	hybrid	P08H-3
861	63531343	HASLR	hybrid	P08H-3
94	12706558	HASLR	hybrid	P08H-3
1	550766	HASLR	hybrid	P08H-3
1	550766	HASLR	hybrid	P08H-3
72318	541722329	Platanus + LINKS	SR+scaf	P08H-3
38207	517992658	Platanus + LINKS	SR+scaf	P08H-3
16723	486652829	Platanus + LINKS	SR+scaf	P08H-3
11575	470716755	Platanus + LINKS	SR+scaf	P08H-3
8825	455709009	Platanus + LINKS	SR+scaf	P08H-3
5681	413722195	Platanus + LINKS	SR+scaf	P08H-3
3321	341070447	Platanus + LINKS	SR+scaf	P08H-3
1499	228479775	Platanus + LINKS	SR+scaf	P08H-3
199	58407089	Platanus + LINKS	SR+scaf	P08H-3
7	4002923	Platanus + LINKS	SR+scaf	P08H-3
49957	978363974	Canu + Pilon	LR+pol	P08H-3
49812	978060718	Canu + Pilon	LR+pol	P08H-3
47746	969716180	Canu + Pilon	LR+pol	P08H-3
35587	875431041	Canu + Pilon	LR+pol	P08H-3
10144	476852141	Canu + Pilon	LR+pol	P08H-3
2857	230219442	Canu + Pilon	LR+pol	P08H-3
568	76589599	Canu + Pilon	LR+pol	P08H-3
10	3486646	Canu + Pilon	LR+pol	P08H-3
1	839527	Canu + Pilon	LR+pol	P08H-3
