group	r.squared	i
"Contrasting methylation\nacross families"	0.121840929	1
"Conserved methylation\namongst tubeworms"	0.745904422	1
"Conserved methylation\nacross families"	0.749930102	1
"Contrasting methylation\namongst tubeworms"	0.046064897	1
"Contrasting methylation\nacross families"	0.124120786	2
"Conserved methylation\namongst tubeworms"	0.747244671	2
"Conserved methylation\nacross families"	0.767096803	2
"Contrasting methylation\namongst tubeworms"	0.038962249	2
"Contrasting methylation\nacross families"	0.126836404	3
"Conserved methylation\namongst tubeworms"	0.730275719	3
"Conserved methylation\nacross families"	0.76414998	3
"Contrasting methylation\namongst tubeworms"	0.040389644	3
"Contrasting methylation\nacross families"	0.123386643	4
"Conserved methylation\namongst tubeworms"	0.723537996	4
"Conserved methylation\nacross families"	0.753428567	4
"Contrasting methylation\namongst tubeworms"	0.029675845	4
"Contrasting methylation\nacross families"	0.117978315	5
"Conserved methylation\namongst tubeworms"	0.728305897	5
"Conserved methylation\nacross families"	0.756092302	5
"Contrasting methylation\namongst tubeworms"	0.027123159	5
"Contrasting methylation\nacross families"	0.117493605	6
"Conserved methylation\namongst tubeworms"	0.749754054	6
"Conserved methylation\nacross families"	0.754202398	6
"Contrasting methylation\namongst tubeworms"	0.037930372	6
"Contrasting methylation\nacross families"	0.122954386	7
"Conserved methylation\namongst tubeworms"	0.751426457	7
"Conserved methylation\nacross families"	0.758964602	7
"Contrasting methylation\namongst tubeworms"	0.028671739	7
"Contrasting methylation\nacross families"	0.127177787	8
"Conserved methylation\nacross families"	0.7647119	8
"Conserved methylation\namongst tubeworms"	0.735831237	8
"Contrasting methylation\namongst tubeworms"	0.038724339	8
"Contrasting methylation\nacross families"	0.115648596	9
"Conserved methylation\namongst tubeworms"	0.715632591	9
"Conserved methylation\nacross families"	0.759144219	9
"Contrasting methylation\namongst tubeworms"	0.04422585	9
"Contrasting methylation\nacross families"	0.130127018	10
"Conserved methylation\nacross families"	0.759081594	10
"Conserved methylation\namongst tubeworms"	0.760865384	10
"Contrasting methylation\namongst tubeworms"	0.044318356	10
"Contrasting methylation\nacross families"	0.12211774	11
"Conserved methylation\namongst tubeworms"	0.736253654	11
"Conserved methylation\nacross families"	0.769210976	11
"Contrasting methylation\namongst tubeworms"	0.048879724	11
"Contrasting methylation\nacross families"	0.130416637	12
"Conserved methylation\namongst tubeworms"	0.730516757	12
"Conserved methylation\nacross families"	0.766640836	12
"Contrasting methylation\namongst tubeworms"	0.029663631	12
"Contrasting methylation\nacross families"	0.134384262	13
"Conserved methylation\namongst tubeworms"	0.745300709	13
"Conserved methylation\nacross families"	0.763992745	13
"Contrasting methylation\namongst tubeworms"	0.047693156	13
"Contrasting methylation\nacross families"	0.129585087	14
"Conserved methylation\namongst tubeworms"	0.723335022	14
"Conserved methylation\nacross families"	0.760951716	14
"Contrasting methylation\namongst tubeworms"	0.032813835	14
"Contrasting methylation\nacross families"	0.123228453	15
"Conserved methylation\namongst tubeworms"	0.735320007	15
"Conserved methylation\nacross families"	0.751705411	15
"Contrasting methylation\namongst tubeworms"	0.032058922	15
"Contrasting methylation\nacross families"	0.129881484	16
"Conserved methylation\nacross families"	0.759957845	16
"Conserved methylation\namongst tubeworms"	0.735131076	16
"Contrasting methylation\namongst tubeworms"	0.050237933	16
"Contrasting methylation\nacross families"	0.124404712	17
"Conserved methylation\nacross families"	0.760071671	17
"Conserved methylation\namongst tubeworms"	0.745610868	17
"Contrasting methylation\namongst tubeworms"	0.046694407	17
"Contrasting methylation\nacross families"	0.131382967	18
"Conserved methylation\namongst tubeworms"	0.743995779	18
"Conserved methylation\nacross families"	0.761586274	18
"Contrasting methylation\namongst tubeworms"	0.048900824	18
"Contrasting methylation\nacross families"	0.120908521	19
"Conserved methylation\namongst tubeworms"	0.723161962	19
"Conserved methylation\nacross families"	0.758635913	19
"Contrasting methylation\namongst tubeworms"	0.03113438	19
"Contrasting methylation\nacross families"	0.134343279	20
"Conserved methylation\namongst tubeworms"	0.743449641	20
"Conserved methylation\nacross families"	0.752057708	20
"Contrasting methylation\namongst tubeworms"	0.044665544	20
"Contrasting methylation\nacross families"	0.118516275	21
"Conserved methylation\namongst tubeworms"	0.742626581	21
"Conserved methylation\nacross families"	0.742423842	21
"Contrasting methylation\namongst tubeworms"	0.044437253	21
"Contrasting methylation\nacross families"	0.123897152	22
"Conserved methylation\namongst tubeworms"	0.74834513	22
"Conserved methylation\nacross families"	0.766121409	22
"Contrasting methylation\namongst tubeworms"	0.047010156	22
"Contrasting methylation\nacross families"	0.126164504	23
"Conserved methylation\namongst tubeworms"	0.735947188	23
"Conserved methylation\nacross families"	0.759495295	23
"Contrasting methylation\namongst tubeworms"	0.044797106	23
"Contrasting methylation\nacross families"	0.135834568	24
"Conserved methylation\namongst tubeworms"	0.734364781	24
"Conserved methylation\nacross families"	0.753374314	24
"Contrasting methylation\namongst tubeworms"	0.029284304	24
"Contrasting methylation\nacross families"	0.130505503	25
"Conserved methylation\namongst tubeworms"	0.718889931	25
"Conserved methylation\nacross families"	0.752588973	25
"Contrasting methylation\namongst tubeworms"	0.045406094	25
"Contrasting methylation\nacross families"	0.134051327	26
"Conserved methylation\namongst tubeworms"	0.744653705	26
"Conserved methylation\nacross families"	0.752350751	26
"Contrasting methylation\namongst tubeworms"	0.04883891	26
"Contrasting methylation\nacross families"	0.122126584	27
