ind	var	type	feature_posi	min_40	max_60	min_25	max_75	median	min_10	max_90	mean
P. echinospica	meth_cov	exon	1	0.285714285714286	0.571428571428571	0.166666666666667	1	0.4	0	1	0.510653153325743
P. echinospica	meth_cov	exon	2	1	1	0.272727272727273	1	1	0.0666666666666667	1	0.706054660049445
P. echinospica	meth_cov	exon	3	1	1	0.363636363636364	1	1	0.0909090909090909	1	0.746726991450952
P. echinospica	meth_cov	exon	4	1	1	0.441666666666667	1	1	0.1	1	0.767819873426218
P. echinospica	meth_cov	exon	5	1	1	0.571428571428571	1	1	0.111928104575163	1	0.7895560811766
P. echinospica	meth_cov	exon	6	1	1	0.75	1	1	0.142857142857143	1	0.805394558232951
P. echinospica	meth_cov	exon	7	1	1	1	1	1	0.142857142857143	1	0.815040854683758
P. echinospica	meth_cov	exon	8	1	1	1	1	1	0.166666666666667	1	0.821308250543649
P. echinospica	meth_cov	exon	9	1	1	1	1	1	0.174065598779558	1	0.827688627282639
P. echinospica	meth_cov	exon	10	1	1	1	1	1	0.166666666666667	1	0.832442874409271
P. echinospica	meth_cov	exon	11	1	1	1	1	1	0.181818181818182	1	0.839160428169284
P. echinospica	meth_cov	exon	12	1	1	1	1	1	0.2	1	0.845250167641839
P. echinospica	meth_cov	exon	13	1	1	1	1	1	0.214285714285714	1	0.85339618968565
P. echinospica	meth_cov	exon	14	1	1	1	1	1	0.222222222222222	1	0.856911588973282
P. echinospica	meth_cov	exon	15	1	1	1	1	1	0.25	1	0.87057356364301
P. echinospica	meth_cov	exon	16	1	1	1	1	1	0.25	1	0.86644045238188
P. echinospica	meth_cov	exon	17	1	1	1	1	1	0.230769230769231	1	0.865412139849614
P. echinospica	meth_cov	exon	18	1	1	1	1	1	0.25	1	0.870551042824932
P. echinospica	meth_cov	exon	19	1	1	1	1	1	0.230769230769231	1	0.863788754650089
P. echinospica	meth_cov	exon	20	1	1	1	1	1	0.2	1	0.85277891789436
P. echinospica	meth_cov	exon	21	1	1	1	1	1	0.2	1	0.851599849554861
P. echinospica	meth_cov	exon	22	1	1	1	1	1	0.25	1	0.851662276747492
P. echinospica	meth_cov	exon	23	1	1	1	1	1	0.19047619047619	1	0.845148173528913
P. echinospica	meth_cov	exon	24	1	1	1	1	1	0.125	1	0.828614049887593
P. echinospica	meth_cov	exon	25	1	1	1	1	1	0.203333333333333	1	0.839917517181907
P. echinospica	meth_cov	exon	26	1	1	1	1	1	0.16969696969697	1	0.834524077345638
P. echinospica	meth_cov	exon	27	1	1	1	1	1	0.166666666666667	1	0.82234501500273
P. echinospica	meth_cov	exon	28	1	1	1	1	1	0.175757575757576	1	0.818721238756082
P. echinospica	meth_cov	exon	29	1	1	1	1	1	0.165789473684211	1	0.81094764373988
P. echinospica	meth_cov	exon	30	1	1	1	1	1	0.157142857142857	1	0.818740694886012
P. echinospica	meth_cov	exon	31	1	1	0.756944444444444	1	1	0.142857142857143	1	0.803746463291201
P. echinospica	meth_cov	exon	32	1	1	0.5	1	1	0.116666666666667	1	0.781313771567548
P. echinospica	meth_cov	exon	33	1	1	1	1	1	0.174242424242424	1	0.819760506500783
P. echinospica	meth_cov	exon	34	1	1	1	1	1	0.172727272727273	1	0.802055855908797
P. echinospica	meth_cov	exon	35	1	1	0.714285714285714	1	1	0.281818181818182	1	0.827204213133526
P. echinospica	meth_cov	exon	36	1	1	1	1	1	0.130357142857143	1	0.812316286138082
P. echinospica	meth_cov	exon	37	1	1	0.583333333333333	1	1	0.113888888888889	1	0.783672331252976
P. echinospica	meth_cov	exon	38	1	1	0.545454545454545	1	1	0.102105263157895	1	0.789045573742961
P. echinospica	meth_cov	exon	39	1	1	0.577067669172932	1	1	0.138888888888889	1	0.787286840505092
P. echinospica	meth_cov	exon	40	1	1	0.585714285714286	1	1	0.166666666666667	1	0.785441170125904
P. echinospica	meth_cov	exon	41	1	1	0.71031746031746	1	1	0.204444444444444	1	0.81084542766247
P. echinospica	meth_cov	exon	42	1	1	0.5	1	1	0.218461538461538	1	0.788807268738805
P. echinospica	meth_cov	exon	43	1	1	0.366666666666667	1	1	0.111111111111111	1	0.733627810098398
P. echinospica	meth_cov	exon	44	1	1	0.55	1	1	0.111613876319759	1	0.780224302189258
P. echinospica	meth_cov	exon	45	1	1	0.44047619047619	1	1	0.25	1	0.765148005589182
P. echinospica	meth_cov	exon	46	1	1	0.191471571906355	1	1	0.0533333333333334	1	0.705648225798727
P. echinospica	meth_cov	exon	47	0.541818181818182	1	0.238636363636364	1	1	0.0526881720430108	1	0.652791634249008
P. echinospica	meth_cov	exon	48	0.833333333333333	1	0.267857142857143	1	1	0.0769230769230769	1	0.693282523927685
P. echinospica	meth_cov	exon	49	0.531428571428572	1	0.28125	1	1	0.196666666666667	1	0.687782599847817
P. echinospica	meth_cov	exon	50	1	1	0.225	1	1	0.0714285714285714	1	0.711984126984127
P. echinospica	meth_cov	exon	51	0.742857142857143	1	0.322916666666667	1	1	0.179166666666667	1	0.716645186089631
P. echinospica	meth_cov	exon	52	1	1	0.296875	1	1	0.164285714285714	1	0.72924512987013
P. echinospica	meth_cov	exon	53	0.7	1	0.333333333333333	1	1	0.118095238095238	1	0.685014005602241
P. echinospica	meth_cov	exon	54	0.858823529411765	1	0.223214285714286	1	1	0.169683257918552	1	0.690235912178637
P. echinospica	meth_cov	exon	55	1	1	0.2375	1	1	0.0636363636363636	1	0.695170454545455
P. echinospica	meth_cov	exon	56	0.537142857142857	1	0.103448275862069	1	1	0.0076923076923077	1	0.617509546156761
P. echinospica	meth_cov	exon	57	0.56	1	0.329545454545455	1	0.8	0.0883863322141023	1	0.64855062575189
P. echinospica	meth_cov	exon	58	0.136507936507937	0.377777777777778	0.104166666666667	1	0.182539682539683	0.0802845528455285	1	0.454086817653891
P. echinospica	meth_cov	exon	59	0.178571428571429	0.569230769230769	0.126373626373626	1	0.324519230769231	0.0538461538461539	1	0.483602335164835
P. echinospica	meth_cov	exon	60	0.164912280701754	0.6	0.147267206477733	1	0.333333333333333	0.102197802197802	1	0.501421823790245
P. echinospica	meth_cov	exon	61	0.444444444444444	0.5	0.201111111111111	0.875	0.472222222222222	0.06	1	0.510740740740741
P. echinospica	meth_cov	exon	62	0.277777777777778	0.666666666666667	0.236111111111111	0.916666666666667	0.472222222222222	0.185185185185185	1	0.552469135802469
P. echinospica	meth_cov	exon	63	0.384615384615385	0.5	0.171153846153846	0.875	0.442307692307692	0.0983870967741935	1	0.513564929693962
P. echinospica	meth_cov	exon	64	0.822222222222222	0.955555555555555	0.733333333333333	1	0.888888888888889	0.653333333333333	1	0.844444444444444
P. echinospica	meth_cov	exon	65	0.68	0.92	0.584615384615385	1	0.8	0.556923076923077	1	0.784615384615385
P. echinospica	meth_cov	exon	66	0.406451612903226	0.851612903225806	0.256048387096774	1	0.629032258064516	0.25241935483871	1	0.627016129032258
P. echinospica	meth_cov	exon	67	0.733333333333333	0.933333333333333	0.5	1	0.833333333333333	0.2	1	0.666666666666667
P. echinospica	meth_cov	exon	68	0.466666666666667	0.866666666666667	0.272727272727273	1	0.666666666666667	0.163636363636364	1	0.606060606060606
P. echinospica	meth_cov	exon	69	0.733333333333333	0.933333333333333	0.586206896551724	1	0.833333333333333	0.441379310344828	1	0.752873563218391
P. echinospica	meth_cov	exon	70	0.636363636363636	0.909090909090909	0.428321678321678	1	0.772727272727273	0.217482517482517	1	0.655594405594406
P. echinospica	meth_cov	exon	71	1	1	0.778846153846154	1	1	0.380769230769231	1	0.778846153846154
P. echinospica	meth_cov	exon	72	0.328	0.832	0.12	1	0.58	0.048	1	0.54
P. echinospica	meth_cov	exon	73	0.771428571428571	0.942857142857143	0.535714285714286	1	0.857142857142857	0.214285714285714	1	0.678571428571429
P. echinospica	meth_cov	exon	74	0.8125	1	0.53125	1	1	0.25	1	0.6875
P. echinospica	meth_cov	exon	75	0.842857142857143	1	0.607142857142857	1	1	0.371428571428571	1	0.738095238095238
P. echinospica	meth_cov	exon	76	1	1	1	1	1	1	1	1
P. echinospica	meth_cov	exon	77	1	1	1	1	1	1	1	1
P. echinospica	meth_cov	exon	78	1	1	1	1	1	1	1	1
P. echinospica	meth_cov	exon	79	1	1	1	1	1	1	1	1
P. echinospica	meth_cov	exon	80	1	1	1	1	1	1	1	1
P. echinospica	meth_cov	exon	81	1	1	1	1	1	1	1	1
P. echinospica	meth_cov	exon	82	1	1	1	1	1	1	1	1
P. echinospica	meth_cov	exon	83	1	1	1	1	1	1	1	1
P. echinospica	meth_cov	exon	84	1	1	1	1	1	1	1	1
P. echinospica	meth_cov	exon	85	1	1	1	1	1	1	1	1
P. echinospica	meth_cov	exon	86	1	1	1	1	1	1	1	1
P. echinospica	meth_cov	exon	87	1	1	1	1	1	1	1	1
P. echinospica	meth_cov	exon	88	1	1	1	1	1	1	1	1
P. echinospica	meth_cov	exon	89	1	1	1	1	1	1	1	1
P. echinospica	meth_cov	exon	90	1	1	1	1	1	1	1	1
P. echinospica	meth_cov	exon	91	1	1	1	1	1	1	1	1
P. echinospica	meth_cov	intron	1	0.526315789473684	0.916666666666667	0.344827586206897	1	0.76	0.21820742637644	1	0.663316110513447
P. echinospica	meth_cov	intron	2	0.906976744186046	1	0.396551724137931	1	1	0.238095238095238	1	0.744811052999996
P. echinospica	meth_cov	intron	3	1	1	0.435064935064935	1	1	0.246710637578218	1	0.774678790451565
P. echinospica	meth_cov	intron	4	1	1	0.5	1	1	0.263157894736842	1	0.795991641052056
P. echinospica	meth_cov	intron	5	1	1	0.551724137931034	1	1	0.272727272727273	1	0.812476238888724
P. echinospica	meth_cov	intron	6	1	1	0.666666666666667	1	1	0.294117647058824	1	0.826674064633503
P. echinospica	meth_cov	intron	7	1	1	0.75	1	1	0.288528511289705	1	0.830932564818839
P. echinospica	meth_cov	intron	8	1	1	0.888888888888889	1	1	0.304347826086957	1	0.841269132446684
P. echinospica	meth_cov	intron	9	1	1	0.953397529069767	1	1	0.303614285714286	1	0.844815688964738
P. echinospica	meth_cov	intron	10	1	1	0.975609756097561	1	1	0.315789473684211	1	0.85230718069852
P. echinospica	meth_cov	intron	11	1	1	0.983804865150714	1	1	0.335789473684211	1	0.85898068640067
P. echinospica	meth_cov	intron	12	1	1	1	1	1	0.328474680621826	1	0.861991098083486
P. echinospica	meth_cov	intron	13	1	1	1	1	1	0.333333333333333	1	0.866885259356759
P. echinospica	meth_cov	intron	14	1	1	1	1	1	0.343493150684932	1	0.870384074048845
P. echinospica	meth_cov	intron	15	1	1	1	1	1	0.379002079002079	1	0.883585727534112
P. echinospica	meth_cov	intron	16	1	1	1	1	1	0.384615384615385	1	0.883662210080701
P. echinospica	meth_cov	intron	17	1	1	1	1	1	0.369980506822612	1	0.879998316685157
P. echinospica	meth_cov	intron	18	1	1	1	1	1	0.383637548891786	1	0.883377539761139
P. echinospica	meth_cov	intron	19	1	1	1	1	1	0.36099706744868	1	0.875478556581372
P. echinospica	meth_cov	intron	20	1	1	1	1	1	0.356845238095238	1	0.874057678610501
P. echinospica	meth_cov	intron	21	1	1	1	1	1	0.359766214177979	1	0.867723362361569
P. echinospica	meth_cov	intron	22	1	1	1	1	1	0.333333333333333	1	0.865479465365344
P. echinospica	meth_cov	intron	23	1	1	1	1	1	0.352941176470588	1	0.865079813800861
P. echinospica	meth_cov	intron	24	1	1	0.983491461100569	1	1	0.312777093596059	1	0.852467787516986
P. echinospica	meth_cov	intron	25	1	1	0.980392156862745	1	1	0.35974025974026	1	0.860596574000746
P. echinospica	meth_cov	intron	26	1	1	0.985814889336016	1	1	0.336231884057971	1	0.852378662213698
P. echinospica	meth_cov	intron	27	1	1	0.875	1	1	0.331372549019608	1	0.854511544245084
P. echinospica	meth_cov	intron	28	1	1	0.900966183574879	1	1	0.277836125698091	1	0.834990129904531
P. echinospica	meth_cov	intron	29	1	1	0.86875	1	1	0.332231404958678	1	0.840716711420506
P. echinospica	meth_cov	intron	30	1	1	0.800653594771242	1	1	0.315131578947368	1	0.844032936645829
P. echinospica	meth_cov	intron	31	1	1	0.84375	1	1	0.333333333333333	1	0.844191710795662
P. echinospica	meth_cov	intron	32	1	1	0.75	1	1	0.32280701754386	1	0.841219380840292
P. echinospica	meth_cov	intron	33	1	1	0.666666666666667	1	1	0.292777777777778	1	0.822844791077526
P. echinospica	meth_cov	intron	34	1	1	0.8	1	1	0.375	1	0.846250600981147
P. echinospica	meth_cov	intron	35	1	1	0.867857142857143	1	1	0.284	1	0.835441904718891
P. echinospica	meth_cov	intron	36	1	1	0.766958670260557	1	1	0.33921568627451	1	0.843675182825161
P. echinospica	meth_cov	intron	37	1	1	0.631578947368421	1	1	0.391111111111111	1	0.83248428362125
P. echinospica	meth_cov	intron	38	1	1	0.6	1	1	0.346666666666667	1	0.824529820380169
P. echinospica	meth_cov	intron	39	1	1	0.565025252525253	1	1	0.306543385490754	1	0.815943650187903
P. echinospica	meth_cov	intron	40	1	1	0.645833333333333	1	1	0.388888888888889	1	0.844640067674859
P. echinospica	meth_cov	intron	41	1	1	0.651515151515151	1	1	0.289861751152074	1	0.820960990265798
P. echinospica	meth_cov	intron	42	1	1	0.571428571428571	1	1	0.265957446808511	1	0.805034612696758
P. echinospica	meth_cov	intron	43	1	1	0.633333333333333	1	1	0.275862068965517	1	0.812060464190235
P. echinospica	meth_cov	intron	44	0.95	1	0.585714285714286	1	1	0.206060606060606	1	0.770731114846182
P. echinospica	meth_cov	intron	45	1	1	0.536005434782609	1	1	0.258333333333333	1	0.791017063953991
P. echinospica	meth_cov	intron	46	1	1	0.333333333333333	1	1	0.295384615384615	1	0.752150976553811
P. echinospica	meth_cov	intron	47	0.603571428571429	1	0.445054945054945	1	1	0.279230769230769	1	0.732838131071827
P. echinospica	meth_cov	intron	48	0.666666666666667	1	0.45	1	1	0.214285714285714	1	0.743900203161389
P. echinospica	meth_cov	intron	49	0.911111111111111	1	0.473630831643002	1	1	0.322727272727273	1	0.767079369191076
P. echinospica	meth_cov	intron	50	0.960215053763441	1	0.410984848484849	1	1	0.192	1	0.731814335499779
P. echinospica	meth_cov	intron	51	0.926530612244898	1	0.514285714285714	1	1	0.333333333333333	1	0.781676152889779
P. echinospica	meth_cov	intron	52	0.866666666666667	1	0.485355070461453	1	1	0.284705882352941	1	0.748995511163847
P. echinospica	meth_cov	intron	53	0.742857142857143	1	0.461538461538462	1	1	0.191379310344828	1	0.722836578566802
P. echinospica	meth_cov	intron	54	0.9	1	0.4015625	1	1	0.241812865497076	1	0.729814408706953
P. echinospica	meth_cov	intron	55	0.538461538461538	1	0.44375	1	1	0.28	1	0.721332417582418
P. echinospica	meth_cov	intron	56	0.7	1	0.308641975308642	1	1	0.184615384615385	1	0.705694353130251
P. echinospica	meth_cov	intron	57	0.339784946236559	1	0.270833333333333	1	0.672043010752688	0.228205128205128	1	0.636331679073615
P. echinospica	meth_cov	intron	58	0.413311688311688	0.670588235294118	0.343151913875598	1	0.508403361344538	0.306766917293233	1	0.621322901170037
P. echinospica	meth_cov	intron	59	0.59047619047619	0.828571428571429	0.285714285714286	1	0.726190476190476	0.25	1	0.648809523809524
P. echinospica	meth_cov	intron	60	0.357142857142857	0.6	0.26984126984127	1	0.4375	0.182828282828283	1	0.5592306998557
P. echinospica	meth_cov	intron	61	0.222222222222222	0.394736842105263	0.216269841269841	0.848684210526316	0.308479532163743	0.107142857142857	1	0.471874129768867
P. echinospica	meth_cov	intron	62	0.384615384615385	0.444444444444444	0.31043956043956	0.861111111111111	0.414529914529915	0.279220779220779	1	0.564583564583565
P. echinospica	meth_cov	intron	63	0.6	0.75	0.478125	0.9375	0.675	0.367101648351648	1	0.680700549450549
P. echinospica	meth_cov	intron	64	0.582608695652174	0.895652173913043	0.442028985507246	1	0.739130434782609	0.376811594202899	1	0.702898550724638
P. echinospica	meth_cov	intron	65	0.663157894736842	0.91578947368421	0.474210526315789	1	0.789473684210526	0.285684210526316	1	0.684736842105263
P. echinospica	meth_cov	intron	66	0.770577507598784	0.939452887537994	0.633928571428571	0.996808510638298	0.855015197568389	0.489285714285714	0.998723404255319	0.77572188449848
P. echinospica	meth_cov	intron	67	0.753846153846154	0.938461538461538	0.589543269230769	1	0.846153846153846	0.404567307692308	1	0.743389423076923
P. echinospica	meth_cov	intron	68	0.68	0.92	0.563636363636364	1	0.8	0.498181818181818	1	0.763636363636364
P. echinospica	meth_cov	intron	69	0.6	0.9	0.458333333333333	1	0.75	0.383333333333333	1	0.708333333333333
P. echinospica	meth_cov	intron	70	0.618018018018018	0.904504504504504	0.441891891891892	1	0.761261261261261	0.296756756756757	1	0.680630630630631
P. echinospica	meth_cov	intron	71	0.974193548387097	0.993548387096774	0.850806451612903	1	0.983870967741935	0.640322580645161	1	0.866935483870968
P. echinospica	meth_cov	intron	72	0.587755102040816	0.896938775510204	0.460742630385488	1	0.74234693877551	0.417630385487528	1	0.718395691609977
P. echinospica	meth_cov	intron	73	0.445147898287494	0.829372080954852	0.23780487804878	0.968085106382979	0.637259989621173	0.0951219512195122	0.987234042553192	0.568629994810586
P. echinospica	meth_cov	intron	74	0.844444444444444	1	0.611111111111111	1	1	0.377777777777778	1	0.740740740740741
