feature_posi	ind	var	count
1	P. echinospica	meth_cov	36326
1	P. echinospica	meth_depth	36326
1	P. echinospica	meth_freq	36326
1	R. piscesae	meth_cov	38532
1	R. piscesae	meth_depth	38532
1	R. piscesae	meth_freq	38532
1	P. palmiformis	meth_cov	35640
1	P. palmiformis	meth_depth	35640
1	P. palmiformis	meth_freq	35640
2	P. echinospica	meth_cov	28148
2	P. echinospica	meth_depth	28148
2	P. echinospica	meth_freq	28148
2	R. piscesae	meth_cov	30116
2	R. piscesae	meth_depth	30116
2	R. piscesae	meth_freq	30116
2	P. palmiformis	meth_cov	27168
2	P. palmiformis	meth_depth	27168
2	P. palmiformis	meth_freq	27168
3	P. echinospica	meth_cov	23950
3	P. echinospica	meth_depth	23950
3	P. echinospica	meth_freq	23950
3	R. piscesae	meth_cov	24664
3	R. piscesae	meth_depth	24664
3	R. piscesae	meth_freq	24664
3	P. palmiformis	meth_cov	22068
3	P. palmiformis	meth_depth	22068
3	P. palmiformis	meth_freq	22068
4	P. echinospica	meth_cov	20616
4	P. echinospica	meth_depth	20616
4	P. echinospica	meth_freq	20616
4	R. piscesae	meth_cov	20654
4	R. piscesae	meth_depth	20654
4	R. piscesae	meth_freq	20654
4	P. palmiformis	meth_cov	18412
4	P. palmiformis	meth_depth	18412
4	P. palmiformis	meth_freq	18412
5	P. echinospica	meth_cov	17592
5	P. echinospica	meth_depth	17592
5	P. echinospica	meth_freq	17592
5	R. piscesae	meth_cov	17252
5	R. piscesae	meth_depth	17252
5	R. piscesae	meth_freq	17252
5	P. palmiformis	meth_cov	15448
5	P. palmiformis	meth_depth	15448
5	P. palmiformis	meth_freq	15448
6	P. echinospica	meth_cov	15002
6	P. echinospica	meth_depth	15002
6	P. echinospica	meth_freq	15002
6	R. piscesae	meth_cov	14586
6	R. piscesae	meth_depth	14586
6	R. piscesae	meth_freq	14586
6	P. palmiformis	meth_cov	13012
6	P. palmiformis	meth_depth	13012
6	P. palmiformis	meth_freq	13012
7	P. echinospica	meth_cov	12956
7	P. echinospica	meth_depth	12956
7	P. echinospica	meth_freq	12956
7	R. piscesae	meth_cov	12572
7	R. piscesae	meth_depth	12572
7	R. piscesae	meth_freq	12572
7	P. palmiformis	meth_cov	11224
7	P. palmiformis	meth_depth	11224
7	P. palmiformis	meth_freq	11224
8	P. echinospica	meth_cov	10962
8	P. echinospica	meth_depth	10962
8	P. echinospica	meth_freq	10962
8	R. piscesae	meth_cov	10802
8	R. piscesae	meth_depth	10802
8	R. piscesae	meth_freq	10802
8	P. palmiformis	meth_cov	9612
8	P. palmiformis	meth_depth	9612
