"categories"	"comp"	"pvalue"	"diff"	"symbol"	"sign"	"genome"	"diff2"
"Amino acid transport and metabolism "	"Unmethylated promoter"	0.0236790431730882	-0.0525581054427209	"**"	"depletion"	"P. echinospica"	NA
"Carbohydrate transport and metabolism "	"Unmethylated promoter"	2.08511101488471e-06	0.00255432947740639	"***"	"enrichment"	"P. echinospica"	-0.00255432947740639
"Cell cycle control, cell division, chromosome partitioning "	"Unmethylated promoter"	4.23297718119305e-06	-0.0242938944862022	"***"	"depletion"	"P. echinospica"	NA
"Cell wall/membrane/envelope biogenesis "	"Unmethylated promoter"	1.31580523146978e-05	0.022350382927306	"***"	"enrichment"	"P. echinospica"	-0.022350382927306
"Chromatin structure and dynamics "	"Unmethylated promoter"	0.000196785855516015	-0.0146596300442455	"***"	"depletion"	"P. echinospica"	NA
"Coenzyme transport and metabolism "	"Unmethylated promoter"	0.00135832173406516	0.0117998916075839	"***"	"enrichment"	"P. echinospica"	-0.0117998916075839
"Cytoskeleton "	"Unmethylated promoter"	0.014456391964032	-0.203374602413064	"**"	"depletion"	"P. echinospica"	NA
"Energy production and conversion "	"Unmethylated promoter"	1.99207270497251e-10	0.0818773655312116	"***"	"enrichment"	"P. echinospica"	-0.0818773655312116
"Function unknown "	"Unmethylated promoter"	8.91386093302204e-24	0.129687749880058	"***"	"enrichment"	"P. echinospica"	-0.129687749880058
"General function prediction only "	"Unmethylated promoter"	2.2151964527508e-31	0.0593326314480155	"***"	"enrichment"	"P. echinospica"	-0.0593326314480155
"Intracellular trafficking, secretion, and vesicular transport "	"Unmethylated promoter"	1.88300673501982e-22	0.153148710841018	"***"	"enrichment"	"P. echinospica"	-0.153148710841018
"Lipid transport and metabolism "	"Unmethylated promoter"	0.000560760536977278	-0.0670511487819181	"***"	"depletion"	"P. echinospica"	NA
"Nucleotide transport and metabolism "	"Unmethylated promoter"	0.0251971811687331	-0.0236553121168506	"**"	"depletion"	"P. echinospica"	NA
"Posttranslational modification, protein turnover, chaperones "	"Unmethylated promoter"	7.58110005694438e-35	0.263206993976224	"***"	"enrichment"	"P. echinospica"	-0.263206993976224
"Replication, recombination and repair "	"Unmethylated promoter"	3.57752442900254e-08	0.0305408959255113	"***"	"enrichment"	"P. echinospica"	-0.0305408959255113
"RNA processing and modification "	"Unmethylated promoter"	5.78031301167443e-17	0.116027640066102	"***"	"enrichment"	"P. echinospica"	-0.116027640066102
"Secondary metabolites biosynthesis, transport and catabolism "	"Unmethylated promoter"	0.0167488395807909	-0.00347055635517173	"**"	"depletion"	"P. echinospica"	NA
"Signal transduction mechanisms "	"Unmethylated promoter"	4.87992442176429e-14	-0.402806652806653	"***"	"depletion"	"P. echinospica"	NA
"Transcription "	"Unmethylated promoter"	9.62639208806233e-14	-0.040147395916627	"***"	"depletion"	"P. echinospica"	NA
"Translation, ribosomal structure and biogenesis "	"Unmethylated promoter"	4.60378772852631e-17	0.133213835136912	"***"	"enrichment"	"P. echinospica"	-0.133213835136912
"Amino acid transport and metabolism "	"Methylated promoter"	5.46232959941949e-08	0.0496522376162521	"***"	"enrichment"	"P. echinospica"	0.0496522376162521
"Carbohydrate transport and metabolism "	"Methylated promoter"	2.53038481327367e-06	-0.00241310399402804	"***"	"depletion"	"P. echinospica"	NA
"Cell cycle control, cell division, chromosome partitioning "	"Methylated promoter"	2.70182917860558e-09	0.0229507173345064	"***"	"enrichment"	"P. echinospica"	0.0229507173345064
"Cell wall/membrane/envelope biogenesis "	"Methylated promoter"	0.00249944602030719	-0.0211146599477457	"***"	"depletion"	"P. echinospica"	NA
"Chromatin structure and dynamics "	"Methylated promoter"	4.04737238923181e-06	0.0138491185744222	"***"	"enrichment"	"P. echinospica"	0.0138491185744222
"Coenzyme transport and metabolism "	"Methylated promoter"	0.03452866476606	-0.0111474912767602	"**"	"depletion"	"P. echinospica"	NA
