#window_size = genomic window size (bp)
#corr = Pearson's correlation (r) between WGBS and Nanopore data
#mean_step = mean distance between first and last CpG in window (bp)
#median_step = mean distance between first and last CpG in window (bp)
#mean_CpGs = mean number of CpGs in windows
#median_CpGs = median number of CpGs in windows
#n = windows count
#cov_nanop = coverage threshold for Nanopore data (q95: 95% interpercentile, min and max threshold applied)
#cov_wgbs = coverage threshold for WBGS data (q95: 95% interpercentile, min and max threshold applied)
#cov_nanop-cov_wgbs = coverage thresholds for Nanopore and WGBS
#
	window_size	corr	mean_step	median_step	mean_CpGs	median_CpGs	n	cov_nanop	cov_wgbs	cov_nanop-cov_wgbs
0	1.0	0.9654550854567376	1.0	1.0	1.0	1.0	14346633.0	q95	10	q95-10
1	50.0	0.9694563845310616	17.092603807494303	13.0	2.0	2.0	6423332.0	q95	10	q95-10
2	100.0	0.973824718556756	45.795746700489225	49.0	3.0	3.0	4003245.0	q95	10	q95-10
3	500.0	0.984956362059176	342.00342344657594	398.0	13.0	11.0	1066177.0	q95	10	q95-10
4	1000.0	0.9888221343607464	751.7414043558231	869.0	24.0	21.0	574128.0	q95	10	q95-10
5	5000.0	0.9946973768203498	4363.510003014389	4810.0	113.0	106.0	126062.0	q95	10	q95-10
6	10000.0	0.995886397745177	8925.343297129319	9780.0	220.0	213.0	65002.0	q95	10	q95-10
7	50000.0	0.9922749478944346	37351.51061610211	49284.0	880.0	914.0	16296.0	q95	10	q95-10
8	100000.0	0.986040325423498	58618.55658840441	74286.0	1374.0	1401.0	10435.0	q95	10	q95-10
9	500000.0	0.9722046051814646	100358.4639529181	19212.0	2345.0	342.0	6117.0	q95	10	q95-10
10	1000000.0	0.9707987641127896	105850.04619893122	16590.0	2473.0	292.0	5801.0	q95	10	q95-10
11	5000000.0	0.9706361527170057	106699.82102519547	16306.0	2492.0	286.0	5755.0	q95	10	q95-10
12	100000000.0	0.9706361527170057	106699.82102519547	16306.0	2492.0	286.0	5755.0	q95	10	q95-10
13	500000000.0	0.9706361527170057	106699.82102519547	16306.0	2492.0	286.0	5755.0	q95	10	q95-10
14	1.0	0.9618595604502418	1.0	1.0	1.0	1.0	15567175.0	q95	5	q95-5
15	50.0	0.9661786957025124	17.212434289997066	13.0	2.0	2.0	6927408.0	q95	5	q95-5
16	100.0	0.9707973549074704	46.33482467070856	50.0	3.0	3.0	4297485.0	q95	5	q95-5
17	500.0	0.9833331477131736	356.89396307542836	411.0	14.0	12.0	1107501.0	q95	5	q95-5
18	1000.0	0.9877605554371072	786.238285734757	893.0	26.0	23.0	586187.0	q95	5	q95-5
19	5000.0	0.9941563368754768	4453.276110207113	4857.0	122.0	116.0	126598.0	q95	5	q95-5
20	10000.0	0.9953081475313702	9026.000076684764	9835.0	238.0	231.0	65202.0	q95	5	q95-5
21	50000.0	0.9913264225190728	37372.51312896922	49459.5	950.0	984.0	16376.0	q95	5	q95-5
22	100000.0	0.9846917725795266	58466.044723570274	72947.0	1481.0	1505.0	10509.0	q95	5	q95-5
23	500000.0	0.969755799420567	99646.07956015524	19022.5	2517.0	379.0	6184.0	q95	5	q95-5
24	1000000.0	0.968269726096341	105049.56604738368	16503.0	2653.0	319.0	5867.0	q95	5	q95-5
25	5000000.0	0.9681011406227789	105882.4806734238	16248.0	2674.0	311.0	5821.0	q95	5	q95-5
26	100000000.0	0.9681011406227789	105882.4806734238	16248.0	2674.0	311.0	5821.0	q95	5	q95-5
27	500000000.0	0.9681011406227789	105882.4806734238	16248.0	2674.0	311.0	5821.0	q95	5	q95-5
28	1.0	0.9493494278232116	1.0	1.0	1.0	1.0	16617335.0	q95	1	q95-1
29	50.0	0.9553104718901836	17.316750059066113	13.0	2.0	2.0	7335001.0	q95	1	q95-1
30	100.0	0.960473881655175	46.7263506229235	51.0	3.0	3.0	4535870.0	q95	1	q95-1
31	500.0	0.9765355234400798	367.9558415832906	419.0	14.0	13.0	1140915.0	q95	1	q95-1
32	1000.0	0.9828872976762362	812.1212730958645	908.0	27.0	25.0	596373.0	q95	1	q95-1
33	5000.0	0.9921839641159456	4525.964089332211	4884.0	130.0	124.0	127121.0	q95	1	q95-1
34	10000.0	0.9938820707496122	9110.680815278054	9868.0	254.0	247.0	65401.0	q95	1	q95-1
35	50000.0	0.9891126914550428	37429.91941369663	49600.0	1010.0	1039.0	16442.0	q95	1	q95-1
36	100000.0	0.9809841743643576	58417.14222180167	71863.0	1572.0	1593.0	10568.0	q95	1	q95-1
37	500000.0	0.9643464570286824	99183.52316076294	19002.0	2663.0	416.0	6239.0	q95	1	q95-1
38	1000000.0	0.9626010314118456	104507.6408308004	16627.0	2806.0	352.0	5922.0	q95	1	q95-1
39	5000000.0	0.9624031123589532	105328.05888359428	16339.5	2828.0	345.0	5876.0	q95	1	q95-1
40	100000000.0	0.9624031123589532	105328.05888359428	16339.5	2828.0	345.0	5876.0	q95	1	q95-1
41	500000000.0	0.9624031123589532	105328.05888359428	16339.5	2828.0	345.0	5876.0	q95	1	q95-1
42	1.0	0.9612745979980892	1.0	1.0	1.0	1.0	15972450.0	5	5	5-5
43	50.0	0.9657486184088464	17.30109045116001	13.0	2.0	2.0	7081656.0	5	5	5-5
44	100.0	0.9704747318712776	46.566292244487705	51.0	3.0	3.0	4385513.0	5	5	5-5
45	500.0	0.983242056902198	358.2979879679382	412.0	14.0	12.0	1126324.0	5	5	5-5
46	1000.0	0.9878368714554994	789.1919732463942	895.0	26.0	24.0	595359.0	5	5	5-5
47	5000.0	0.994635163074571	4476.345510927809	4860.0	124.0	118.0	128022.0	5	5	5-5
48	10000.0	0.995935736184405	9060.334371108343	9839.0	242.0	235.0	65846.0	5	5	5-5
49	50000.0	0.9925405771244108	36890.89124716011	49439.0	954.0	983.0	16726.0	5	5	5-5
50	100000.0	0.9870334187610604	57059.46742836082	65362.0	1471.0	1451.0	10853.0	5	5	5-5
51	500000.0	0.9759894805122958	95170.31555555556	17128.0	2447.0	405.0	6525.0	5	5	5-5
52	1000000.0	0.974963925740664	100063.18753020784	15396.0	2573.0	361.0	6207.0	5	5	5-5
53	5000000.0	0.9748469185316108	100812.37477682196	15164.0	2592.0	354.0	6161.0	5	5	5-5
54	100000000.0	0.9748469185316108	100812.37477682196	15164.0	2592.0	354.0	6161.0	5	5	5-5
55	500000000.0	0.9748469185316108	100812.37477682196	15164.0	2592.0	354.0	6161.0	5	5	5-5
56	1.0	0.9452512538422588	1.0	1.0	1.0	1.0	17231952.0	1	1	1-1
57	50.0	0.9510544033107587	17.402577321356862	13.0	2.0	2.0	7575074.0	1	1	1-1
