	window_size	corr	mean_step	median_step	mean_CpGs	median_CpGs	n	cov_nanop	cov_wgbs	cov_nanop-cov_wgbs
0	1.0	0.9148281723242456	4.533799173760051	1.0	1.6276434595041125	1.0	10986881.0	1	1	1-1
1	50.0	0.9243432490571926	17.106600766150848	12.0	2.0	2.0	7323362.0	1	1	1-1
2	100.0	0.933960348849861	45.97344539482419	49.0	3.0	3.0	4616751.0	1	1	1-1
3	500.0	0.9620758081563306	367.5644029368233	418.0	15.0	13.0	1166158.0	1	1	1-1
4	1000.0	0.971886710390613	812.4109739206921	906.0	29.0	26.0	609372.0	1	1	1-1
5	5000.0	0.983804232857701	4525.383446141052	4883.0	137.0	130.0	129867.0	1	1	1-1
6	10000.0	0.9852142658403518	9076.484380369016	9866.0	267.0	258.0	66935.0	1	1	1-1
7	50000.0	0.9529420328172308	35609.75126932512	49497.0	1020.0	1031.0	17529.0	1	1	1-1
8	100000.0	0.9213871221269077	53777.333161512026	51653.0	1536.0	1370.0	11640.0	1	1	1-1
9	500000.0	0.8715001219777123	85939.11616438357	13898.0	2449.0	359.0	7300.0	1	1	1-1
10	1000000.0	0.8674608707616349	89864.75780578631	12840.5	2561.0	321.0	6982.0	1	1	1-1
11	5000000.0	0.8670182048555103	90462.19997116494	12617.5	2578.0	317.0	6936.0	1	1	1-1
12	100000000.0	0.8670182048555103	90462.19997116494	12617.5	2578.0	317.0	6936.0	1	1	1-1
13	500000000.0	0.8670182048555103	90462.19997116494	12617.5	2578.0	317.0	6936.0	1	1	1-1
14	1.0	0.9420187627073722	4.562461717633037	1.0	1.624736256048079	1.0	7944258.0	5	10	5-10
15	50.0	0.9488933436439532	16.238548286010488	10.0	2.0	2.0	5434514.0	5	10	5-10
16	100.0	0.9556338695016414	42.49275420165153	43.0	3.0	3.0	3532599.0	5	10	5-10
17	500.0	0.9739634805760048	314.72467624254267	366.0	12.0	10.0	1010247.0	5	10	5-10
18	1000.0	0.9811355292830524	695.547194570783	812.0	23.0	19.0	559344.0	5	10	5-10
19	5000.0	0.992707243072223	4247.060588188411	4706.0	102.0	92.0	125470.0	5	10	5-10
20	10000.0	0.995320630173078	8825.08606544689	9657.0	199.0	185.0	64602.0	5	10	5-10
21	50000.0	0.9938582687957896	38041.32798136255	49048.5	812.0	819.0	15882.0	5	10	5-10
22	100000.0	0.9894732861940326	60659.77506234414	82632.0	1287.0	1306.0	10025.0	5	10	5-10
23	500000.0	0.9769398122069248	107023.25783850062	23607.0	2260.0	468.0	5709.0	5	10	5-10
24	1000000.0	0.9752688101535448	113349.6003338279	20365.0	2393.0	394.0	5392.0	5	10	5-10
25	5000000.0	0.975063006185489	114330.4025439581	19899.5	2414.0	383.0	5346.0	5	10	5-10
26	100000000.0	0.975063006185489	114330.4025439581	19899.5	2414.0	383.0	5346.0	5	10	5-10
27	500000000.0	0.975063006185489	114330.4025439581	19899.5	2414.0	383.0	5346.0	5	10	5-10
28	1.0	0.9442917537039706	4.845665652687046	1.0	1.6685906158204566	1.0	6316695.0	10	1	10-1
29	50.0	0.9482988323622528	14.351411057506766	6.0	2.0	2.0	4651157.0	10	1	10-1
30	100.0	0.9527653556744528	36.03168397256457	30.0	3.0	2.0	3222986.0	10	1	10-1
31	500.0	0.9698779761259072	305.367466720828	356.0	10.0	8.0	965018.0	10	1	10-1
32	1000.0	0.977665728782831	699.1595676424553	818.0	19.0	15.0	528359.0	10	1	10-1
33	5000.0	0.9908853340402666	4120.403780733907	4691.0	86.0	72.0	121405.0	10	1	10-1
34	10000.0	0.9943242598649604	8548.820768586289	9609.0	166.0	143.0	63259.0	10	1	10-1
35	50000.0	0.9935424349672388	38214.69357560026	48608.0	683.0	659.0	15410.0	10	1	10-1
36	100000.0	0.9891173319319844	62013.53504843245	87482.0	1097.0	1095.0	9601.0	10	1	10-1
37	500000.0	0.9744711945761813	113108.22756410256	28465.5	1987.0	549.0	5304.0	10	1	10-1
38	1000000.0	0.9722814171241048	120332.80553327988	23472.0	2113.0	458.0	4988.0	10	1	10-1
39	5000000.0	0.9720223367897508	121461.12990692028	22736.5	2132.0	450.0	4942.0	10	1	10-1
40	100000000.0	0.9720223367897508	121461.12990692028	22736.5	2132.0	450.0	4942.0	10	1	10-1
41	500000000.0	0.9720223367897508	121461.12990692028	22736.5	2132.0	450.0	4942.0	10	1	10-1
42	1.0	0.9378430168260096	4.493033465075406	1.0	1.6164217833769046	1.0	8137618.0	q95	10	q95-10
43	50.0	0.9457944708999492	16.483271319436966	11.0	2.0	2.0	5507099.0	q95	10	q95-10
44	100.0	0.9533551100046572	43.30919129779573	45.0	3.0	3.0	3551468.0	q95	10	q95-10
45	500.0	0.9727764225497184	316.5974220335508	368.0	13.0	10.0	1009633.0	q95	10	q95-10
46	1000.0	0.98008937864157	698.1122943335422	815.0	23.0	19.0	558550.0	q95	10	q95-10
47	5000.0	0.9912920196795848	4244.624118454223	4713.0	104.0	95.0	125348.0	q95	10	q95-10
48	10000.0	0.9935172028761732	8801.370263292158	9665.0	203.0	190.0	64681.0	q95	10	q95-10
49	50000.0	0.9874307281163665	37652.631906808696	49076.0	819.0	833.0	16053.0	q95	10	q95-10
50	100000.0	0.9769601660495658	59682.23351648352	79232.5	1290.0	1301.0	10192.0	q95	10	q95-10
51	500000.0	0.9516831634999388	104090.73684210528	21677.0	2240.0	339.0	5871.0	q95	10	q95-10
52	1000000.0	0.9486225297506942	110045.49216921692	18499.0	2367.0	279.0	5555.0	q95	10	q95-10
53	5000000.0	0.9482565654100596	110970.57941550192	18028.0	2387.0	272.0	5509.0	q95	10	q95-10
54	100000000.0	0.9482565654100596	110970.57941550192	18028.0	2387.0	272.0	5509.0	q95	10	q95-10
55	500000000.0	0.9482565654100596	110970.57941550192	18028.0	2387.0	272.0	5509.0	q95	10	q95-10
56	1.0	0.9529296383200324	4.816225650525047	1.0	1.6620639565557471	1.0	5923177.0	10	5	10-5
57	50.0	0.9565885529558064	14.257028362590509	6.0	2.0	2.0	4367020.0	10	5	10-5
58	100.0	0.960588262156154	35.69280573382016	29.0	3.0	2.0	3034347.0	10	5	10-5
59	500.0	0.974851458591138	294.93032310840204	342.0	10.0	8.0	931514.0	10	5	10-5
60	1000.0	0.981269869964178	673.2383235800411	791.0	19.0	14.0	517603.0	10	5	10-5
61	5000.0	0.9921612798751638	4039.843328565168	4624.0	81.0	67.0	120941.0	10	5	10-5
62	10000.0	0.9949965913496116	8448.314892538685	9527.0	155.0	134.0	63139.0	10	5	10-5
63	50000.0	0.9943462411106176	38117.03464863811	48422.0	639.0	620.0	15383.0	10	5	10-5
64	100000.0	0.9908962377818392	61980.78968253968	87608.5	1028.0	1029.0	9576.0	10	5	10-5
65	500000.0	0.9790426780508756	113310.81465354032	28784.5	1863.0	502.0	5282.0	10	5	10-5
66	1000000.0	0.9772645234608704	120588.2064035441	23567.0	1982.0	424.0	4966.0	10	5	10-5
67	5000000.0	0.9770486028758096	121724.44674796748	23004.5	2000.0	410.0	4920.0	10	5	10-5
68	100000000.0	0.9770486028758096	121724.44674796748	23004.5	2000.0	410.0	4920.0	10	5	10-5
69	500000000.0	0.9770486028758096	121724.44674796748	23004.5	2000.0	410.0	4920.0	10	5	10-5
70	1.0	0.9388228196833674	4.53426954660187	1.0	1.6214818018319854	1.0	9360118.0	5	5	5-5
71	50.0	0.9457192387313778	16.41199903464309	10.0	2.0	2.0	6368629.0	5	5	5-5
72	100.0	0.9528035796936044	43.63331160723247	45.0	3.0	3.0	4094921.0	5	5	5-5
73	500.0	0.9741700550718232	344.72704023662567	398.0	13.0	11.0	1091344.0	5	5	5-5
74	1000.0	0.9819962279130198	766.170648528664	876.0	26.0	22.0	582056.0	5	5	5-5
75	5000.0	0.9930210116240912	4428.38911878488	4831.0	120.0	110.0	126144.0	5	5	5-5
76	10000.0	0.9951612474089758	9029.367455283424	9804.0	234.0	221.0	64797.0	5	5	5-5
