"ind"	"group"	"isgene"	"semiquant_methfreq"	"count"	"n"
"P08H-3"	"All CpGs"	"Outside of genes"	"high (>75%)"	289960	10185925
"P08H-3"	"All CpGs"	"Outside of genes"	"intermediate (25-75%)"	1413719	10185925
"P08H-3"	"All CpGs"	"Outside of genes"	"low (<25%)"	1180473	10185925
"P08H-3"	"All CpGs"	"Outside of genes"	"no methylation"	7301773	10185925
"P08H-3"	"All CpGs"	"Within genes"	"high (>75%)"	917483	4038191
"P08H-3"	"All CpGs"	"Within genes"	"intermediate (25-75%)"	848186	4038191
"P08H-3"	"All CpGs"	"Within genes"	"low (<25%)"	302764	4038191
"P08H-3"	"All CpGs"	"Within genes"	"no methylation"	1969758	4038191
"Pec"	"All CpGs"	"Outside of genes"	"high (>75%)"	2032083	24090710
"Pec"	"All CpGs"	"Outside of genes"	"intermediate (25-75%)"	1400186	24090710
"Pec"	"All CpGs"	"Outside of genes"	"low (<25%)"	6198808	24090710
"Pec"	"All CpGs"	"Outside of genes"	"no methylation"	14459633	24090710
"Pec"	"All CpGs"	"Within genes"	"high (>75%)"	2537661	6320766
"Pec"	"All CpGs"	"Within genes"	"intermediate (25-75%)"	715526	6320766
"Pec"	"All CpGs"	"Within genes"	"low (<25%)"	939088	6320766
"Pec"	"All CpGs"	"Within genes"	"no methylation"	2128491	6320766
"R07B-5"	"All CpGs"	"Outside of genes"	"high (>75%)"	943972	12931251
"R07B-5"	"All CpGs"	"Outside of genes"	"intermediate (25-75%)"	950938	12931251
"R07B-5"	"All CpGs"	"Outside of genes"	"low (<25%)"	5538949	12931251
"R07B-5"	"All CpGs"	"Outside of genes"	"no methylation"	5497392	12931251
"R07B-5"	"All CpGs"	"Within genes"	"high (>75%)"	1617628	5009868
"R07B-5"	"All CpGs"	"Within genes"	"intermediate (25-75%)"	614479	5009868
"R07B-5"	"All CpGs"	"Within genes"	"low (<25%)"	1246607	5009868
"R07B-5"	"All CpGs"	"Within genes"	"no methylation"	1531154	5009868
"P08H-3"	"ClassI_Helicase"	"Within genes"	"high (>75%)"	262	3229
"P08H-3"	"ClassI_Helicase"	"Within genes"	"intermediate (25-75%)"	446	3229
"P08H-3"	"ClassI_Helicase"	"Within genes"	"low (<25%)"	288	3229
"P08H-3"	"ClassI_Helicase"	"Within genes"	"no methylation"	2233	3229
"P08H-3"	"ClassI_Transposase"	"Within genes"	"high (>75%)"	4247	55117
"P08H-3"	"ClassI_Transposase"	"Within genes"	"intermediate (25-75%)"	7723	55117
"P08H-3"	"ClassI_Transposase"	"Within genes"	"low (<25%)"	4719	55117
"P08H-3"	"ClassI_Transposase"	"Within genes"	"no methylation"	38428	55117
"P08H-3"	"ClassI_Tyrosine_Recombinase"	"Within genes"	"high (>75%)"	135	1156
"P08H-3"	"ClassI_Tyrosine_Recombinase"	"Within genes"	"intermediate (25-75%)"	229	1156
"P08H-3"	"ClassI_Tyrosine_Recombinase"	"Within genes"	"low (<25%)"	108	1156
"P08H-3"	"ClassI_Tyrosine_Recombinase"	"Within genes"	"no methylation"	684	1156
