list_cat	KOG_id	kog_des
A	KOG1135	RNA processing and modification 
A	KOG0343	RNA processing and modification 
A	KOG1996	RNA processing and modification 
A	KOG0339	RNA processing and modification 
A	KOG1104	RNA processing and modification 
A	KOG1975	RNA processing and modification 
A	KOG1049	RNA processing and modification 
A	KOG1122	RNA processing and modification 
A	KOG1137	RNA processing and modification 
A	KOG0340	RNA processing and modification 
A	KOG1994	RNA processing and modification 
A	KOG0341	RNA processing and modification 
A	KOG1272	RNA processing and modification 
A	KOG0988	RNA processing and modification 
A	KOG1190	RNA processing and modification 
A	KOG0952	RNA processing and modification 
A	KOG1070	RNA processing and modification 
A	KOG1784	RNA processing and modification 
A	KOG2793	RNA processing and modification 
A	KOG1456	RNA processing and modification 
A	KOG2837	RNA processing and modification 
A	KOG0107	RNA processing and modification 
A	KOG0947	RNA processing and modification 
A	KOG0338	RNA processing and modification 
A	KOG2991	RNA processing and modification 
A	KOG0951	RNA processing and modification 
A	KOG0345	RNA processing and modification 
A	KOG0342	RNA processing and modification 
A	KOG0838	RNA processing and modification 
A	KOG0334	RNA processing and modification 
A	KOG2780	RNA processing and modification 
A	KOG0336	RNA processing and modification 
A	KOG0923	RNA processing and modification 
A	KOG3980	RNA processing and modification 
A	KOG0925	RNA processing and modification 
A	KOG4046	RNA processing and modification 
A	KOG1136	RNA processing and modification 
A	KOG0796	RNA processing and modification 
A	KOG1138	RNA processing and modification 
A	KOG0953	RNA processing and modification 
A	KOG0347	RNA processing and modification 
A	KOG1040	RNA processing and modification 
A	KOG3064	RNA processing and modification 
A	KOG0349	RNA processing and modification 
A	KOG3080	RNA processing and modification 
A	KOG3948	RNA processing and modification 
A	KOG3132	RNA processing and modification 
A	KOG1127	RNA processing and modification 
A	KOG3172	RNA processing and modification 
A	KOG1676	RNA processing and modification 
A	KOG4205	RNA processing and modification 
A	KOG0701	RNA processing and modification 
A	KOG0344	RNA processing and modification 
A	KOG0332	RNA processing and modification 
A	KOG0346	RNA processing and modification 
A	KOG1782	RNA processing and modification 
A	KOG0839	RNA processing and modification 
A	KOG3459	RNA processing and modification 
A	KOG0495	RNA processing and modification 
A	KOG1801	RNA processing and modification 
A	KOG0640	RNA processing and modification 
A	KOG0924	RNA processing and modification 
A	KOG3674	RNA processing and modification 
A	KOG0948	RNA processing and modification 
A	KOG3741	RNA processing and modification 
A	KOG1817	RNA processing and modification 
A	KOG1258	RNA processing and modification 
A	KOG3428	RNA processing and modification 
A	KOG2771	RNA processing and modification 
A	KOG3911	RNA processing and modification 
A	KOG3934	RNA processing and modification 
A	KOG3937	RNA processing and modification 
A	KOG1919	RNA processing and modification 
A	KOG0007	RNA processing and modification 
A	KOG0105	RNA processing and modification 
A	KOG1960	RNA processing and modification 
A	KOG2572	RNA processing and modification 
A	KOG2047	RNA processing and modification 
A	KOG2573	RNA processing and modification 
A	KOG3801	RNA processing and modification 
A	KOG3908	RNA processing and modification 
A	KOG4211	RNA processing and modification 
A	KOG1295	RNA processing and modification 
A	KOG1475	RNA processing and modification 
A	KOG4298	RNA processing and modification 
A	KOG1596	RNA processing and modification 
A	KOG4327	RNA processing and modification 
A	KOG1642	RNA processing and modification 
A	KOG4374	RNA processing and modification 
A	KOG0647	RNA processing and modification 
A	KOG0670	RNA processing and modification 
A	KOG1689	RNA processing and modification 
A	KOG4207	RNA processing and modification 
A	KOG2078	RNA processing and modification 
A	KOG1780	RNA processing and modification 
A	KOG0821	RNA processing and modification 
A	KOG3454	RNA processing and modification 
A	KOG1783	RNA processing and modification 
A	KOG0922	RNA processing and modification 
A	KOG3482	RNA processing and modification 
A	KOG3503	RNA processing and modification 
A	KOG1802	RNA processing and modification 
A	KOG0304	RNA processing and modification 
A	KOG3702	RNA processing and modification 
A	KOG0319	RNA processing and modification 
A	KOG2669	RNA processing and modification 
A	KOG0330	RNA processing and modification 
A	KOG1869	RNA processing and modification 
A	KOG3909	RNA processing and modification 
A	KOG1898	RNA processing and modification 
A	KOG0333	RNA processing and modification 
A	KOG1914	RNA processing and modification 
A	KOG0335	RNA processing and modification 
A	KOG1908	RNA processing and modification 
A	KOG0337	RNA processing and modification 
A	KOG0063	RNA processing and modification 
A	KOG2863	RNA processing and modification 
A	KOG2937	RNA processing and modification 
A	KOG2953	RNA processing and modification 
A	KOG4206	RNA processing and modification 
A	KOG3013	RNA processing and modification 
A	KOG3026	RNA processing and modification 
A	KOG3045	RNA processing and modification 
A	KOG4213	RNA processing and modification 
A	KOG0348	RNA processing and modification 
A	KOG1588	RNA processing and modification 
A	KOG0350	RNA processing and modification 
A	KOG1609	RNA processing and modification 
A	KOG0533	RNA processing and modification 
A	KOG1644	RNA processing and modification 
A	KOG4655	RNA processing and modification 
A	KOG3293	RNA processing and modification 
A	KOG3392	RNA processing and modification 
A	KOG0820	RNA processing and modification 
A	KOG0816	RNA processing and modification 
A	KOG1774	RNA processing and modification 
A	KOG4849	RNA processing and modification 
A	KOG4768	RNA processing and modification 
A	KOG2441	RNA processing and modification 
A	KOG1795	RNA processing and modification 
A	KOG1446	RNA processing and modification 
A	KOG3460	RNA processing and modification 
A	KOG2600	RNA processing and modification 
A	KOG2636	RNA processing and modification 
A	KOG3673	RNA processing and modification 
A	KOG1847	RNA processing and modification 
A	KOG3763	RNA processing and modification 
A	KOG2749	RNA processing and modification 
A	KOG0331	RNA processing and modification 
A	KOG2769	RNA processing and modification 
A	KOG1895	RNA processing and modification 
A	KOG2868	RNA processing and modification 
A	KOG0148	RNA processing and modification 
A	KOG2781	RNA processing and modification 
A	KOG0452	RNA processing and modification 
A	KOG2808	RNA processing and modification 
A	KOG0926	RNA processing and modification 
A	KOG4150	RNA processing and modification 
A	KOG4008	RNA processing and modification 
A	KOG0108	RNA processing and modification 
A	KOG0113	RNA processing and modification 
A	KOG4209	RNA processing and modification 
A	KOG0117	RNA processing and modification 
A	KOG4212	RNA processing and modification 
A	KOG2138	RNA processing and modification 
A	KOG0120	RNA processing and modification 
A	KOG1902	RNA processing and modification 
A	KOG4318	RNA processing and modification 
A	KOG2202	RNA processing and modification 
A	KOG4353	RNA processing and modification 
A	KOG3167	RNA processing and modification 
A	KOG4394	RNA processing and modification 
A	KOG3242	RNA processing and modification 
A	KOG2330	RNA processing and modification 
A	KOG1775	RNA processing and modification 
A	KOG2386	RNA processing and modification 
A	KOG3408	RNA processing and modification 
A	KOG2481	RNA processing and modification 
A	KOG3448	RNA processing and modification 
A	KOG0920	RNA processing and modification 
A	KOG0272	RNA processing and modification 
A	KOG2574	RNA processing and modification 
A	KOG0285	RNA processing and modification 
A	KOG2634	RNA processing and modification 
A	KOG0050	RNA processing and modification 
A	KOG2651	RNA processing and modification 
A	KOG2809	RNA processing and modification 
A	KOG2609	RNA processing and modification 
A	KOG3414	RNA processing and modification 
A	KOG0115	RNA processing and modification 
A	KOG1896	RNA processing and modification 
A	KOG2777	RNA processing and modification 
A	KOG1781	RNA processing and modification 
A	KOG2184	RNA processing and modification 
A	KOG3068	RNA processing and modification 
A	KOG2185	RNA processing and modification 
A	KOG3117	RNA processing and modification 
A	KOG0106	RNA processing and modification 
A	KOG2245	RNA processing and modification 
A	KOG0145	RNA processing and modification 
A	KOG0146	RNA processing and modification 
A	KOG2071	RNA processing and modification 
A	KOG3322	RNA processing and modification 
A	KOG2051	RNA processing and modification 
A	KOG2098	RNA processing and modification 
A	KOG0123	RNA processing and modification 
A	KOG2560	RNA processing and modification 
A	KOG2191	RNA processing and modification 
A	KOG2562	RNA processing and modification 
A	KOG2548	RNA processing and modification 
A	KOG2242	RNA processing and modification 
A	KOG4822	RNA processing and modification 
A	KOG0144	RNA processing and modification 
A	KOG1909	RNA processing and modification 
A	KOG2375	RNA processing and modification 
A	KOG0329	RNA processing and modification 
A	KOG4689	RNA processing and modification 
A	KOG2412	RNA processing and modification 
A	KOG3387	RNA processing and modification 
A	KOG0265	RNA processing and modification 
A	KOG2162	RNA processing and modification 
A	KOG0124	RNA processing and modification 
A	KOG0132	RNA processing and modification 
A	KOG0291	RNA processing and modification 
A	KOG0109	RNA processing and modification 
A	KOG1804	RNA processing and modification 
A	KOG1098	RNA processing and modification 
A	KOG2731	RNA processing and modification 
A	KOG0150	RNA processing and modification 
A	KOG4676	RNA processing and modification 
A	KOG4746	RNA processing and modification 
A	KOG0213	RNA processing and modification 
A	KOG1856	RNA processing and modification 
A	KOG0227	RNA processing and modification 
A	KOG4393	RNA processing and modification 
A	KOG0268	RNA processing and modification 
A	KOG0128	RNA processing and modification 
A	KOG0284	RNA processing and modification 
A	KOG2192	RNA processing and modification 
A	KOG2217	RNA processing and modification 
A	KOG0131	RNA processing and modification 
A	KOG2146	RNA processing and modification 
A	KOG0326	RNA processing and modification 
A	KOG0152	RNA processing and modification 
A	KOG2253	RNA processing and modification 
A	KOG0119	RNA processing and modification 
A	KOG2190	RNA processing and modification 
A	KOG1365	RNA processing and modification 
A	KOG2044	RNA processing and modification 
A	KOG0306	RNA processing and modification 
A	KOG0121	RNA processing and modification 
A	KOG2193	RNA processing and modification 
A	KOG0299	RNA processing and modification 
A	KOG0127	RNA processing and modification 
B	KOG0355	Chromatin structure and dynamics 
B	KOG1156	Chromatin structure and dynamics 
B	KOG0933	Chromatin structure and dynamics 
B	KOG0996	Chromatin structure and dynamics 
B	KOG2656	Chromatin structure and dynamics 
B	KOG1343	Chromatin structure and dynamics 
B	KOG2570	Chromatin structure and dynamics 
B	KOG2025	Chromatin structure and dynamics 
B	KOG1000	Chromatin structure and dynamics 
B	KOG0526	Chromatin structure and dynamics 
B	KOG4652	Chromatin structure and dynamics 
B	KOG3105	Chromatin structure and dynamics 
B	KOG4161	Chromatin structure and dynamics 
B	KOG2328	Chromatin structure and dynamics 
B	KOG4715	Chromatin structure and dynamics 
B	KOG1745	Chromatin structure and dynamics 
B	KOG1757	Chromatin structure and dynamics 
B	KOG1649	Chromatin structure and dynamics 
B	KOG2535	Chromatin structure and dynamics 
B	KOG4012	Chromatin structure and dynamics 
B	KOG1507	Chromatin structure and dynamics 
B	KOG0457	Chromatin structure and dynamics 
B	KOG1141	Chromatin structure and dynamics 
B	KOG2633	Chromatin structure and dynamics 
B	KOG1245	Chromatin structure and dynamics 
B	KOG4191	Chromatin structure and dynamics 
B	KOG2696	Chromatin structure and dynamics 
B	KOG4563	Chromatin structure and dynamics 
B	KOG1827	Chromatin structure and dynamics 
B	KOG3467	Chromatin structure and dynamics 
B	KOG2682	Chromatin structure and dynamics 
B	KOG1905	Chromatin structure and dynamics 
B	KOG2441	Chromatin structure and dynamics 
B	KOG3265	Chromatin structure and dynamics 
B	KOG0889	Chromatin structure and dynamics 
B	KOG0639	Chromatin structure and dynamics 
B	KOG2626	Chromatin structure and dynamics 
B	KOG4364	Chromatin structure and dynamics 
B	KOG1342	Chromatin structure and dynamics 
B	KOG3001	Chromatin structure and dynamics 
B	KOG2589	Chromatin structure and dynamics 
B	KOG1344	Chromatin structure and dynamics 
