"group"	"r.squared"	"i"
"Contrasting methylation
across families"	0.214108431884353	1
"Conserved methylation
amongst tubeworms"	0.279070438861294	1
"Conserved methylation
across families"	0.311838868220608	1
"Contrasting methylation
amongst tubeworms"	0.181333744992852	1
"Contrasting methylation
across families"	0.217453125242969	2
"Conserved methylation
amongst tubeworms"	0.280027990170548	2
"Conserved methylation
across families"	0.329345190778017	2
"Contrasting methylation
amongst tubeworms"	0.194535192540582	2
"Contrasting methylation
across families"	0.222046724748202	3
"Conserved methylation
amongst tubeworms"	0.279948579115733	3
"Conserved methylation
across families"	0.29757316291675	3
"Contrasting methylation
amongst tubeworms"	0.194292902636074	3
"Contrasting methylation
across families"	0.252236213549696	4
"Conserved methylation
amongst tubeworms"	0.279412300142364	4
"Conserved methylation
across families"	0.296315092630125	4
"Contrasting methylation
amongst tubeworms"	0.182622094365974	4
"Contrasting methylation
across families"	0.217367331864288	5
"Conserved methylation
amongst tubeworms"	0.264824171084582	5
"Conserved methylation
across families"	0.346659472925326	5
"Contrasting methylation
amongst tubeworms"	0.174223841467096	5
"Contrasting methylation
across families"	0.228777391483181	6
"Conserved methylation
across families"	0.320595204377592	6
"Conserved methylation
amongst tubeworms"	0.268685691840992	6
"Contrasting methylation
amongst tubeworms"	0.17606069773983	6
"Contrasting methylation
across families"	0.218702086638558	7
"Conserved methylation
amongst tubeworms"	0.288023058402172	7
"Conserved methylation
across families"	0.293510756858167	7
"Contrasting methylation
amongst tubeworms"	0.202496127152676	7
"Contrasting methylation
across families"	0.203308753873365	8
"Conserved methylation
amongst tubeworms"	0.284824921691315	8
"Conserved methylation
across families"	0.288946481704344	8
"Contrasting methylation
amongst tubeworms"	0.170739669439953	8
"Contrasting methylation
across families"	0.228434386289584	9
"Conserved methylation
amongst tubeworms"	0.256614998841893	9
"Conserved methylation
across families"	0.320718052085311	9
"Contrasting methylation
amongst tubeworms"	0.197842053505808	9
"Contrasting methylation
across families"	0.218601356241041	10
"Conserved methylation
amongst tubeworms"	0.263043853400151	10
"Conserved methylation
across families"	0.320746350274112	10
"Contrasting methylation
amongst tubeworms"	0.196371108166372	10
"Contrasting methylation
across families"	0.22230862195583	11
"Conserved methylation
amongst tubeworms"	0.291520561570164	11
"Conserved methylation
across families"	0.320206979404818	11
"Contrasting methylation
amongst tubeworms"	0.184662942633442	11
"Contrasting methylation
across families"	0.225833230218272	12
"Conserved methylation
amongst tubeworms"	0.264898862207308	12
"Conserved methylation
across families"	0.345471616610953	12
"Contrasting methylation
amongst tubeworms"	0.183325080386791	12
"Contrasting methylation
across families"	0.227020077798052	13
"Conserved methylation
amongst tubeworms"	0.268896900017699	13
"Contrasting methylation
amongst tubeworms"	0.178678230842956	13
"Conserved methylation
across families"	0.309604741134697	13
"Contrasting methylation
across families"	0.197210440774886	14
"Conserved methylation
amongst tubeworms"	0.283245116899893	14
"Conserved methylation
across families"	0.320405964547023	14
"Contrasting methylation
amongst tubeworms"	0.193553862060443	14
"Contrasting methylation
across families"	0.225427529356484	15
"Conserved methylation
amongst tubeworms"	0.264393245207124	15
"Conserved methylation
across families"	0.323659493173145	15
"Contrasting methylation
amongst tubeworms"	0.201348822357652	15
"Contrasting methylation
across families"	0.240571673811236	16
"Conserved methylation
across families"	0.318274061160252	16
"Conserved methylation
amongst tubeworms"	0.300843698990085	16
"Contrasting methylation
amongst tubeworms"	0.187261228098858	16
"Contrasting methylation
across families"	0.232337996294841	17
"Conserved methylation
amongst tubeworms"	0.28879671335151	17
"Contrasting methylation
amongst tubeworms"	0.190717732004263	17
"Conserved methylation
across families"	0.314078491989554	17
"Contrasting methylation
across families"	0.19422119158373	18
"Conserved methylation
amongst tubeworms"	0.290125284466834	18
"Conserved methylation
across families"	0.332297179751452	18
"Contrasting methylation
amongst tubeworms"	0.187821004150817	18
"Contrasting methylation
across families"	0.201588922897315	19
"Conserved methylation
amongst tubeworms"	0.263154484192842	19
"Conserved methylation
across families"	0.348335926552016	19
"Contrasting methylation
amongst tubeworms"	0.184185074667775	19
"Contrasting methylation
across families"	0.199004207650547	20
"Conserved methylation
amongst tubeworms"	0.274751317648469	20
"Conserved methylation
across families"	0.325299663065343	20
"Contrasting methylation
amongst tubeworms"	0.199760251670885	20
"Contrasting methylation
across families"	0.222073029434283	21
"Conserved methylation
amongst tubeworms"	0.266824738847668	21
"Conserved methylation
across families"	0.312514178094156	21
"Contrasting methylation
amongst tubeworms"	0.195731787887284	21
"Contrasting methylation
across families"	0.205607525525237	22
"Conserved methylation
amongst tubeworms"	0.273944030124979	22
"Conserved methylation
across families"	0.310956481700297	22
"Contrasting methylation
amongst tubeworms"	0.184069881783807	22
"Contrasting methylation
across families"	0.197798701844452	23
"Conserved methylation
amongst tubeworms"	0.291090756602296	23
"Conserved methylation
across families"	0.341796876493116	23
"Contrasting methylation
amongst tubeworms"	0.170538362350443	23
"Contrasting methylation
across families"	0.248311053869283	24
"Conserved methylation
amongst tubeworms"	0.279084795644254	24
"Contrasting methylation
amongst tubeworms"	0.181226779842638	24
"Conserved methylation
across families"	0.330952671046115	24
"Contrasting methylation
across families"	0.216839963310397	25
"Conserved methylation
amongst tubeworms"	0.292283615595275	25
"Conserved methylation
across families"	0.32995652331228	25
"Contrasting methylation
amongst tubeworms"	0.174245050176729	25
"Contrasting methylation
across families"	0.223974038003531	26
"Conserved methylation
amongst tubeworms"	0.292613218151195	26
"Conserved methylation
across families"	0.322441533802689	26
"Contrasting methylation
amongst tubeworms"	0.181916676368601	26
"Contrasting methylation
across families"	0.214017485562141	27
"Conserved methylation
amongst tubeworms"	0.282787951251632	27
"Conserved methylation
across families"	0.332629965124896	27
"Contrasting methylation
amongst tubeworms"	0.186023088621141	27
"Contrasting methylation
across families"	0.235377437206891	28
"Conserved methylation
amongst tubeworms"	0.258643453370073	28
"Contrasting methylation
amongst tubeworms"	0.191479309989937	28
"Conserved methylation
across families"	0.308082740595454	28
"Contrasting methylation
across families"	0.218790786381672	29
"Conserved methylation
across families"	0.294081763002912	29
"Conserved methylation
amongst tubeworms"	0.27811096216259	29
"Contrasting methylation
amongst tubeworms"	0.186518823933586	29
"Contrasting methylation
across families"	0.236025480520582	30
"Conserved methylation
amongst tubeworms"	0.265134912265535	30
"Conserved methylation
across families"	0.307307084283172	30
"Contrasting methylation
amongst tubeworms"	0.197420631258627	30
"Contrasting methylation
across families"	0.220906157779663	31
"Conserved methylation
amongst tubeworms"	0.275239602685905	31
"Conserved methylation
across families"	0.30923519539041	31
"Contrasting methylation
amongst tubeworms"	0.18533567791431	31
"Contrasting methylation
across families"	0.220181224730027	32
"Conserved methylation
across families"	0.305425442469837	32
"Conserved methylation
amongst tubeworms"	0.280593935071115	32
"Contrasting methylation
amongst tubeworms"	0.195038480557574	32
"Contrasting methylation
across families"	0.195811788660057	33
"Conserved methylation
amongst tubeworms"	0.270594729802109	33
"Conserved methylation
across families"	0.315646187465859	33
"Contrasting methylation
amongst tubeworms"	0.197785485878124	33
"Contrasting methylation
across families"	0.186809021208289	34
"Conserved methylation
amongst tubeworms"	0.280952164411345	34
"Conserved methylation
across families"	0.315519432247368	34
"Contrasting methylation
amongst tubeworms"	0.188202912028554	34
"Contrasting methylation
across families"	0.234854052927815	35
"Conserved methylation
amongst tubeworms"	0.253334174928788	35
"Conserved methylation
across families"	0.322077406208643	35
"Contrasting methylation
amongst tubeworms"	0.184570113576806	35
"Contrasting methylation
across families"	0.221982316983039	36
"Conserved methylation
amongst tubeworms"	0.269594394087863	36
"Conserved methylation
across families"	0.347398509478322	36
"Contrasting methylation
amongst tubeworms"	0.192358320698649	36
"Contrasting methylation
across families"	0.205074929786379	37
"Conserved methylation
amongst tubeworms"	0.270946629947069	37
"Conserved methylation
across families"	0.306083947097697	37
"Contrasting methylation
amongst tubeworms"	0.183814168130009	37
"Contrasting methylation
across families"	0.213843418155405	38
"Conserved methylation
amongst tubeworms"	0.283951321604674	38
"Contrasting methylation
amongst tubeworms"	0.210152755568892	38
"Conserved methylation
across families"	0.31319604991242	38
"Contrasting methylation
across families"	0.211236462300521	39
"Conserved methylation
amongst tubeworms"	0.271951913536754	39
"Conserved methylation
across families"	0.323833486425872	39
"Contrasting methylation
amongst tubeworms"	0.189351120568796	39
"Contrasting methylation
across families"	0.213093282863964	40
"Conserved methylation
across families"	0.315118286396468	40
"Conserved methylation
amongst tubeworms"	0.265652157112887	40
"Contrasting methylation
amongst tubeworms"	0.188367489076259	40
"Contrasting methylation
across families"	0.240208567904658	41
"Conserved methylation
amongst tubeworms"	0.276670206707824	41
"Conserved methylation
across families"	0.332502851632372	41
"Contrasting methylation
amongst tubeworms"	0.174479249421134	41
"Contrasting methylation
across families"	0.243034550994696	42
"Conserved methylation
amongst tubeworms"	0.258767307881487	42
"Conserved methylation
across families"	0.317738463193364	42
"Contrasting methylation
amongst tubeworms"	0.186704539076353	42
"Contrasting methylation
across families"	0.234551718226241	43
"Conserved methylation
across families"	0.308871069956033	43
"Conserved methylation
amongst tubeworms"	0.276099103719356	43
"Contrasting methylation
amongst tubeworms"	0.185226283615475	43
"Contrasting methylation
across families"	0.210851139899631	44
"Conserved methylation
amongst tubeworms"	0.277581370187191	44
"Conserved methylation
across families"	0.319745110581203	44
"Contrasting methylation
amongst tubeworms"	0.182693256370052	44
"Contrasting methylation
across families"	0.234534594921554	45
"Conserved methylation
amongst tubeworms"	0.267788999621869	45
"Conserved methylation
across families"	0.290355604978609	45
"Contrasting methylation
amongst tubeworms"	0.181904605644154	45
"Contrasting methylation
across families"	0.208713908904128	46
"Conserved methylation
amongst tubeworms"	0.280014573463803	46
"Conserved methylation
across families"	0.312219825559147	46
"Contrasting methylation
amongst tubeworms"	0.179746884892591	46
"Contrasting methylation
across families"	0.205407118749708	47
"Conserved methylation
amongst tubeworms"	0.288428846481195	47
"Conserved methylation
across families"	0.314101237047878	47
"Contrasting methylation
amongst tubeworms"	0.177295852546831	47
"Contrasting methylation
across families"	0.214363783674551	48
"Conserved methylation
amongst tubeworms"	0.29297486996543	48
"Conserved methylation
across families"	0.308196316332208	48
"Contrasting methylation
amongst tubeworms"	0.172027196215901	48
"Contrasting methylation
across families"	0.215109959129575	49
"Conserved methylation
amongst tubeworms"	0.288202069183184	49
"Conserved methylation
across families"	0.299370033687256	49
"Contrasting methylation
amongst tubeworms"	0.198384669041606	49
"Contrasting methylation
across families"	0.210457658756546	50
"Conserved methylation
across families"	0.3168012130982	50
"Conserved methylation
amongst tubeworms"	0.283743355602009	50
"Contrasting methylation
amongst tubeworms"	0.185169071697625	50
"Contrasting methylation
across families"	0.214114455843876	51
"Conserved methylation
amongst tubeworms"	0.278576775873893	51
"Conserved methylation
across families"	0.330250015375412	51
"Contrasting methylation
amongst tubeworms"	0.187042424695961	51
"Contrasting methylation
across families"	0.223915357082488	52
"Conserved methylation
across families"	0.322822004411007	52
"Conserved methylation
amongst tubeworms"	0.274862508062435	52
"Contrasting methylation
amongst tubeworms"	0.171733824956165	52
"Contrasting methylation
across families"	0.21606204129094	53
"Conserved methylation
amongst tubeworms"	0.268658703182928	53
"Conserved methylation
across families"	0.338986816147986	53
"Contrasting methylation
amongst tubeworms"	0.178474102706223	53
"Contrasting methylation
across families"	0.204936239033595	54
"Conserved methylation
amongst tubeworms"	0.274898645695046	54
"Conserved methylation
across families"	0.325897251035673	54
"Contrasting methylation
amongst tubeworms"	0.178806756794756	54
"Contrasting methylation
across families"	0.231098217658362	55
"Conserved methylation
amongst tubeworms"	0.248090306820414	55
"Conserved methylation
across families"	0.300321182719382	55
"Contrasting methylation
amongst tubeworms"	0.185891388676754	55
"Contrasting methylation
across families"	0.221080055210327	56
"Conserved methylation
amongst tubeworms"	0.287240760767431	56
"Conserved methylation
across families"	0.361223004189148	56
"Contrasting methylation
amongst tubeworms"	0.194938558748596	56
"Contrasting methylation
across families"	0.239115426220667	57
"Conserved methylation
across families"	0.332343215098436	57
"Conserved methylation
amongst tubeworms"	0.288443877394962	57
"Contrasting methylation
amongst tubeworms"	0.197768727908211	57
"Contrasting methylation
across families"	0.228045949607174	58
"Conserved methylation
amongst tubeworms"	0.266952293485213	58
"Conserved methylation
across families"	0.298836502299228	58
"Contrasting methylation
amongst tubeworms"	0.177201359984035	58
"Contrasting methylation
across families"	0.211502177086112	59
"Conserved methylation
amongst tubeworms"	0.268680246352818	59
"Conserved methylation
across families"	0.33346326650849	59
"Contrasting methylation
amongst tubeworms"	0.185476390682867	59
"Contrasting methylation
across families"	0.227893008808434	60
"Conserved methylation
amongst tubeworms"	0.271986101136688	60
"Conserved methylation
across families"	0.319665090281961	60
"Contrasting methylation
amongst tubeworms"	0.187970084677073	60
"Conserved methylation
amongst tubeworms"	0.266710714259386	61
"Contrasting methylation
amongst tubeworms"	0.193563414580371	61
"Conserved methylation
across families"	0.302227926183753	61
"Contrasting methylation
across families"	0.225965981239367	61
"Contrasting methylation
across families"	0.212284170396755	62
"Conserved methylation
amongst tubeworms"	0.281110692515447	62
"Conserved methylation
across families"	0.309580367469062	62
"Contrasting methylation
amongst tubeworms"	0.218801460878549	62
"Contrasting methylation
across families"	0.235765022550492	63
"Conserved methylation
amongst tubeworms"	0.253804509215226	63
