"categories"	"comp"	"pvalue"	"diff"	"symbol"	"sign"	"genome"	"diff2"
"Aging"	"Unmethylated promoter"	0.0174168011885792	-0.00846431649361833	"**"	"depletion"	"P. echinospica"	NA
"Amino acid metabolism"	"Unmethylated promoter"	0.0112848495611629	-0.0759223540033653	"**"	"depletion"	"P. echinospica"	NA
"Carbohydrate metabolism"	"Unmethylated promoter"	0.00515330974976218	-0.0936204703082035	"***"	"depletion"	"P. echinospica"	NA
"Cell growth and death"	"Unmethylated promoter"	3.52565272313778e-06	-0.0379611770016823	"***"	"depletion"	"P. echinospica"	NA
"Circulatory system"	"Unmethylated promoter"	0.00752313004012392	0.00666885541921458	"***"	"enrichment"	"P. echinospica"	-0.00666885541921458
"Endocrine system"	"Unmethylated promoter"	0.00224460031031522	-0.169286329872368	"***"	"depletion"	"P. echinospica"	NA
"Energy metabolism"	"Unmethylated promoter"	2.2496664629501e-09	0.139532974925104	"***"	"enrichment"	"P. echinospica"	-0.139532974925104
"Environmental adaptation"	"Unmethylated promoter"	3.05449408727598e-05	0.0361657159272787	"***"	"enrichment"	"P. echinospica"	-0.0361657159272787
"Excretory system"	"Unmethylated promoter"	0.0234124483263087	-0.00564287766241225	"**"	"depletion"	"P. echinospica"	NA
"Folding, sorting and degradation"	"Unmethylated promoter"	1.42717198274606e-22	0.354475314975172	"***"	"enrichment"	"P. echinospica"	-0.354475314975172
"Glycan biosynthesis and metabolism"	"Unmethylated promoter"	1.28880616462931e-05	0.0392436491976855	"***"	"enrichment"	"P. echinospica"	-0.0392436491976855
"Immune system"	"Unmethylated promoter"	2.17310921589065e-06	-0.00846431649361851	"***"	"depletion"	"P. echinospica"	NA
"Lipid metabolism"	"Unmethylated promoter"	0.000256634195588605	-0.0297533549472647	"***"	"depletion"	"P. echinospica"	NA
"Metabolism of cofactors and vitamins"	"Unmethylated promoter"	3.80554388383813e-05	0.0428345713464933	"***"	"enrichment"	"P. echinospica"	-0.0428345713464933
"Metabolism of other amino acids"	"Unmethylated promoter"	0.00890500763373702	0.00564287766241234	"***"	"enrichment"	"P. echinospica"	-0.00564287766241234
"Nervous system"	"Unmethylated promoter"	5.45890233881639e-05	0.0159026552304346	"***"	"enrichment"	"P. echinospica"	-0.0159026552304346
"Replication and repair"	"Unmethylated promoter"	1.93399092709836e-05	0.0448865268600976	"***"	"enrichment"	"P. echinospica"	-0.0448865268600976
"Signal transduction"	"Unmethylated promoter"	3.68844043312798e-10	-0.155692124594738	"***"	"depletion"	"P. echinospica"	NA
"Transcription"	"Unmethylated promoter"	1.13588386003581e-09	0.138506997168301	"***"	"enrichment"	"P. echinospica"	-0.138506997168301
"Translation"	"Unmethylated promoter"	3.30990827031801e-16	0.21571182336767	"***"	"enrichment"	"P. echinospica"	-0.21571182336767
"Transport and catabolism"	"Unmethylated promoter"	2.49816262625398e-18	0.222124184347684	"***"	"enrichment"	"P. echinospica"	-0.222124184347684
"Xenobiotics biodegradation and metabolism"	"Unmethylated promoter"	0.0266851031546934	0.00153896663520336	"**"	"enrichment"	"P. echinospica"	-0.00153896663520336
"Aging"	"Methylated promoter"	0.0115222170575816	0.00791837831612087	"**"	"enrichment"	"P. echinospica"	0.00791837831612087
"Amino acid metabolism"	"Methylated promoter"	2.6920567125333e-07	0.0710254539870234	"***"	"enrichment"	"P. echinospica"	0.0710254539870234
"Carbohydrate metabolism"	"Methylated promoter"	6.08721833070843e-09	0.087582063193458	"***"	"enrichment"	"P. echinospica"	0.087582063193458
"Cell growth and death"	"Methylated promoter"	3.13748447733331e-09	0.035512726993512	"***"	"enrichment"	"P. echinospica"	0.035512726993512
"Cell motility"	"Methylated promoter"	0.00120088183743798	0.0386320881483472	"***"	"enrichment"	"P. echinospica"	0.0386320881483472
"Cellular community - eukaryotes"	"Methylated promoter"	1.27447755656448e-12	0.168685453219181	"***"	"enrichment"	"P. echinospica"	0.168685453219181
"Circulatory system"	"Methylated promoter"	0.0246535600238954	-0.00623872230967092	"**"	"depletion"	"P. echinospica"	NA
"Development and regeneration"	"Methylated promoter"	2.33832905352355e-08	0.106058279264407	"***"	"enrichment"	"P. echinospica"	0.106058279264407
"Digestive system"	"Methylated promoter"	1.93538020751634e-06	0.0835028986063655	"***"	"enrichment"	"P. echinospica"	0.0835028986063655
"Endocrine system"	"Methylated promoter"	9.05358662544449e-15	0.158367566322417	"***"	"enrichment"	"P. echinospica"	0.158367566322417
"Environmental adaptation"	"Methylated promoter"	0.00726934548717217	-0.033833070987062	"***"	"depletion"	"P. echinospica"	NA
"Excretory system"	"Methylated promoter"	0.0227173046160647	0.00527891887741388	"**"	"enrichment"	"P. echinospica"	0.00527891887741388
"Glycan biosynthesis and metabolism"	"Methylated promoter"	0.00355717804509411	-0.0367124812838331	"***"	"depletion"	"P. echinospica"	NA
"Immune system"	"Methylated promoter"	2.01357167422619e-07	0.00791837831612061	"***"	"enrichment"	"P. echinospica"	0.00791837831612061
"Lipid metabolism"	"Methylated promoter"	3.22398757511297e-06	0.0278342995354553	"***"	"enrichment"	"P. echinospica"	0.0278342995354553
"Metabolism of cofactors and vitamins"	"Methylated promoter"	0.0220824552129262	-0.0400717932967328	"**"	"depletion"	"P. echinospica"	NA
"Metabolism of other amino acids"	"Methylated promoter"	0.03348998522363	-0.00527891887741388	"**"	"depletion"	"P. echinospica"	NA
"Nervous system"	"Methylated promoter"	0.000504574695138292	-0.0148769531999847	"***"	"depletion"	"P. echinospica"	NA
