mean_binary_idx	mRNA
00	augustus_masked-ctg1_pilon-processed-gene-11.8-mRNA-1
00	augustus_masked-ctg1_pilon-processed-gene-15.5-mRNA-1
00	augustus_masked-ctg1_pilon-processed-gene-16.18-mRNA-1
00	augustus_masked-ctg1_pilon-processed-gene-16.3-mRNA-1
00	augustus_masked-ctg1_pilon-processed-gene-16.4-mRNA-1
01	augustus_masked-ctg1_pilon-processed-gene-20.22-mRNA-1
00	augustus_masked-ctg1_pilon-processed-gene-22.4-mRNA-1
00	augustus_masked-ctg1_pilon-processed-gene-25.12-mRNA-1
01	augustus_masked-ctg1_pilon-processed-gene-25.6-mRNA-1
00	augustus_masked-ctg1_pilon-processed-gene-9.5-mRNA-1
11	augustus_masked-ctg10_pilon-processed-gene-11.77-mRNA-1
01	augustus_masked-ctg10_pilon-processed-gene-11.78-mRNA-1
00	augustus_masked-ctg10_pilon-processed-gene-2.33-mRNA-1
00	augustus_masked-ctg10_pilon-processed-gene-2.37-mRNA-1
00	augustus_masked-ctg10_pilon-processed-gene-4.12-mRNA-1
00	augustus_masked-ctg10_pilon-processed-gene-4.2-mRNA-1
11	augustus_masked-ctg10_pilon-processed-gene-8.16-mRNA-1
01	augustus_masked-ctg100_pilon-processed-gene-3.16-mRNA-1
00	augustus_masked-ctg100_pilon-processed-gene-3.17-mRNA-1
00	augustus_masked-ctg100_pilon-processed-gene-3.18-mRNA-1
00	augustus_masked-ctg100_pilon-processed-gene-9.9-mRNA-1
00	augustus_masked-ctg1000_pilon-processed-gene-0.38-mRNA-1
11	augustus_masked-ctg1002_pilon-processed-gene-2.10-mRNA-1
00	augustus_masked-ctg1002_pilon-processed-gene-2.4-mRNA-1
00	augustus_masked-ctg1002_pilon-processed-gene-2.5-mRNA-1
00	augustus_masked-ctg1002_pilon-processed-gene-2.7-mRNA-1
00	augustus_masked-ctg1002_pilon-processed-gene-2.8-mRNA-1
00	augustus_masked-ctg1002_pilon-processed-gene-2.9-mRNA-1
11	augustus_masked-ctg1002_pilon-processed-gene-3.124-mRNA-1
01	augustus_masked-ctg1004_pilon-processed-gene-0.12-mRNA-1
11	augustus_masked-ctg1006_pilon-processed-gene-0.31-mRNA-1
00	augustus_masked-ctg1007_pilon-processed-gene-0.27-mRNA-1
00	augustus_masked-ctg1008_pilon-processed-gene-0.19-mRNA-1
01	augustus_masked-ctg101_pilon-processed-gene-0.14-mRNA-1
00	augustus_masked-ctg101_pilon-processed-gene-1.11-mRNA-1
01	augustus_masked-ctg101_pilon-processed-gene-2.88-mRNA-1
01	augustus_masked-ctg101_pilon-processed-gene-3.23-mRNA-1
00	augustus_masked-ctg101_pilon-processed-gene-3.33-mRNA-1
11	augustus_masked-ctg101_pilon-processed-gene-3.34-mRNA-1
00	augustus_masked-ctg101_pilon-processed-gene-5.51-mRNA-1
10	augustus_masked-ctg101_pilon-processed-gene-5.69-mRNA-1
01	augustus_masked-ctg1011_pilon-processed-gene-0.0-mRNA-1
00	augustus_masked-ctg1014_pilon-processed-gene-0.9-mRNA-1
