mean_binary_idx	mRNA
00	PE_Scaf1_0.3
11	PE_Scaf1_4.3
01	PE_Scaf10_0.0
00	PE_Scaf10_0.6
NA0	PE_Scaf10_1.4
00	PE_Scaf10_1.5
00	PE_Scaf100_0.1
00	PE_Scaf100_0.2
00	PE_Scaf10000_2.0
00	PE_Scaf10000_3.0
00	PE_Scaf10000_3.5
00	PE_Scaf10000_4.5
00	PE_Scaf10000_6.0
00	PE_Scaf10000_6.7
00	PE_Scaf10000_6.8
00	PE_Scaf10001_0.1
00	PE_Scaf10001_0.4
00	PE_Scaf10002_1.0
01	PE_Scaf10002_4.10
00	PE_Scaf10002_4.11
00	PE_Scaf10002_4.5
00	PE_Scaf10002_5.10
00	PE_Scaf10002_5.15
00	PE_Scaf10002_5.17
00	PE_Scaf10002_5.2
00	PE_Scaf10003_0.10
11	PE_Scaf10003_0.14
01	PE_Scaf10003_0.9
00	PE_Scaf10004_0.1
00	PE_Scaf10004_0.12
NANA	PE_Scaf10004_0.2
NA0	PE_Scaf10004_0.3
00	PE_Scaf10004_0.4
00	PE_Scaf10005_1.3
00	PE_Scaf10005_10.0
00	PE_Scaf10005_10.1
00	PE_Scaf10005_10.3
01	PE_Scaf10005_10.5
00	PE_Scaf10005_10.6
00	PE_Scaf10005_2.5
00	PE_Scaf10005_2.6
00	PE_Scaf10005_3.2
00	PE_Scaf10005_4.3
11	PE_Scaf10005_5.0
10	PE_Scaf10005_6.1
11	PE_Scaf10005_6.4
00	PE_Scaf10005_6.5
01	PE_Scaf10005_7.3
01	PE_Scaf10005_8.3
01	PE_Scaf10005_9.18
NA1	PE_Scaf10005_9.19
11	PE_Scaf10005_9.20
11	PE_Scaf10005_9.24
11	PE_Scaf10005_9.8
11	PE_Scaf10008_0.3
01	PE_Scaf10008_0.9
NA0	PE_Scaf10012_0.0
00	PE_Scaf10012_0.1
NA0	PE_Scaf10012_0.3
01	PE_Scaf10013_0.3
00	PE_Scaf10014_0.0
00	PE_Scaf10014_0.4
NANA	PE_Scaf10015_0.15
00	PE_Scaf10015_0.5
NANA	PE_Scaf10015_0.8
11	PE_Scaf10015_0.9
11	PE_Scaf10016_0.2
11	PE_Scaf10020_0.0
11	PE_Scaf10020_0.1
11	PE_Scaf10020_0.3
11	PE_Scaf10020_0.4
11	PE_Scaf10020_0.6
01	PE_Scaf10020_0.7
NA1	PE_Scaf10021_0.2
00	PE_Scaf10024_0.3
11	PE_Scaf10025_0.2
00	PE_Scaf10026_0.3
01	PE_Scaf10029_0.13
11	PE_Scaf10029_0.14
11	PE_Scaf10029_0.2
11	PE_Scaf10029_0.3
11	PE_Scaf10029_0.6
01	PE_Scaf10029_1.11
01	PE_Scaf10029_1.12
11	PE_Scaf10029_1.26
01	PE_Scaf10029_1.9
01	PE_Scaf10029_2.3
01	PE_Scaf10029_3.7
01	PE_Scaf10029_6.1
00	PE_Scaf1003_1.6
01	PE_Scaf1003_2.5
11	PE_Scaf1003_3.4
01	PE_Scaf1003_3.5
01	PE_Scaf1003_4.1
01	PE_Scaf1003_5.4
00	PE_Scaf1003_6.4
11	PE_Scaf1003_6.5
NA0	PE_Scaf10030_0.20
00	PE_Scaf10030_0.9
00	PE_Scaf10033_2.0
11	PE_Scaf10033_2.4
01	PE_Scaf10033_3.4
