mean_binary_idx	mRNA
00	augustus_masked-ctg1_pilon-processed-gene-2.22-mRNA-1
00	augustus_masked-ctg1_pilon-processed-gene-4.5-mRNA-1
NANA	augustus_masked-ctg1_pilon-processed-gene-7.32-mRNA-1
NANA	augustus_masked-ctg1_pilon-processed-gene-7.35-mRNA-1
01	augustus_masked-ctg1_pilon-processed-gene-9.14-mRNA-1
01	augustus_masked-ctg10_pilon-processed-gene-6.0-mRNA-1
00	augustus_masked-ctg1001_pilon-processed-gene-1.9-mRNA-1
00	augustus_masked-ctg1002_pilon-processed-gene-1.9-mRNA-1
00	augustus_masked-ctg101_pilon-processed-gene-9.56-mRNA-1
11	augustus_masked-ctg1010_pilon-processed-gene-0.27-mRNA-1
11	augustus_masked-ctg1011_pilon-processed-gene-1.72-mRNA-1
00	augustus_masked-ctg1015_pilon-processed-gene-0.28-mRNA-1
00	augustus_masked-ctg1018_pilon-processed-gene-0.51-mRNA-1
00	augustus_masked-ctg102_pilon-processed-gene-0.13-mRNA-1
00	augustus_masked-ctg102_pilon-processed-gene-0.14-mRNA-1
00	augustus_masked-ctg102_pilon-processed-gene-1.4-mRNA-1
00	augustus_masked-ctg102_pilon-processed-gene-1.5-mRNA-1
00	augustus_masked-ctg102_pilon-processed-gene-2.2-mRNA-1
01	augustus_masked-ctg102_pilon-processed-gene-3.7-mRNA-1
11	augustus_masked-ctg102_pilon-processed-gene-4.50-mRNA-1
01	augustus_masked-ctg1026_pilon-processed-gene-0.74-mRNA-1
11	augustus_masked-ctg103_pilon-processed-gene-0.0-mRNA-1
00	augustus_masked-ctg103_pilon-processed-gene-2.8-mRNA-1
00	augustus_masked-ctg103_pilon-processed-gene-5.14-mRNA-1
11	augustus_masked-ctg1036_pilon-processed-gene-0.48-mRNA-1
00	augustus_masked-ctg1038_pilon-processed-gene-2.17-mRNA-1
00	augustus_masked-ctg1040_pilon-processed-gene-0.21-mRNA-1
00	augustus_masked-ctg1044_pilon-processed-gene-0.45-mRNA-1
00	augustus_masked-ctg1049_pilon-processed-gene-0.79-mRNA-1
01	augustus_masked-ctg1049_pilon-processed-gene-0.85-mRNA-1
00	augustus_masked-ctg105_pilon-processed-gene-2.11-mRNA-1
00	augustus_masked-ctg105_pilon-processed-gene-4.8-mRNA-1
00	augustus_masked-ctg1050_pilon-processed-gene-1.19-mRNA-1
10	augustus_masked-ctg1051_pilon-processed-gene-0.5-mRNA-1
11	augustus_masked-ctg1056_pilon-processed-gene-1.15-mRNA-1
00	augustus_masked-ctg1058_pilon-processed-gene-0.13-mRNA-1
01	augustus_masked-ctg106_pilon-processed-gene-1.11-mRNA-1
01	augustus_masked-ctg106_pilon-processed-gene-7.51-mRNA-1
00	augustus_masked-ctg1064_pilon-processed-gene-0.41-mRNA-1
00	augustus_masked-ctg1064_pilon-processed-gene-0.42-mRNA-1
11	augustus_masked-ctg1065_pilon-processed-gene-1.40-mRNA-1
00	augustus_masked-ctg1066_pilon-processed-gene-2.7-mRNA-1
00	augustus_masked-ctg1068_pilon-processed-gene-1.19-mRNA-1
00	augustus_masked-ctg1068_pilon-processed-gene-2.25-mRNA-1
00	augustus_masked-ctg1069_pilon-processed-gene-0.43-mRNA-1
00	augustus_masked-ctg1069_pilon-processed-gene-0.46-mRNA-1
01	augustus_masked-ctg107_pilon-processed-gene-1.20-mRNA-1
00	augustus_masked-ctg107_pilon-processed-gene-3.30-mRNA-1
11	augustus_masked-ctg107_pilon-processed-gene-5.45-mRNA-1
11	augustus_masked-ctg107_pilon-processed-gene-6.21-mRNA-1
11	augustus_masked-ctg1072_pilon-processed-gene-1.41-mRNA-1
11	augustus_masked-ctg1073_pilon-processed-gene-0.21-mRNA-1
00	augustus_masked-ctg1074_pilon-processed-gene-0.44-mRNA-1
11	augustus_masked-ctg1078_pilon-processed-gene-2.48-mRNA-1
11	augustus_masked-ctg1078_pilon-processed-gene-2.50-mRNA-1
00	augustus_masked-ctg1079_pilon-processed-gene-0.2-mRNA-1
11	augustus_masked-ctg108_pilon-processed-gene-0.13-mRNA-1
00	augustus_masked-ctg108_pilon-processed-gene-4.29-mRNA-1
00	augustus_masked-ctg1087_pilon-processed-gene-0.25-mRNA-1
00	augustus_masked-ctg1087_pilon-processed-gene-0.27-mRNA-1
11	augustus_masked-ctg109_pilon-processed-gene-6.17-mRNA-1
00	augustus_masked-ctg1090_pilon-processed-gene-0.49-mRNA-1
00	augustus_masked-ctg1094_pilon-processed-gene-3.11-mRNA-1
00	augustus_masked-ctg1094_pilon-processed-gene-3.16-mRNA-1
00	augustus_masked-ctg1095_pilon-processed-gene-0.27-mRNA-1
11	augustus_masked-ctg1096_pilon-processed-gene-0.15-mRNA-1
01	augustus_masked-ctg11_pilon-processed-gene-12.15-mRNA-1
11	augustus_masked-ctg110_pilon-processed-gene-3.15-mRNA-1
11	augustus_masked-ctg1104_pilon-processed-gene-3.28-mRNA-1
00	augustus_masked-ctg1104_pilon-processed-gene-4.16-mRNA-1
11	augustus_masked-ctg1112_pilon-processed-gene-0.8-mRNA-1
01	augustus_masked-ctg112_pilon-processed-gene-0.25-mRNA-1
00	augustus_masked-ctg112_pilon-processed-gene-4.42-mRNA-1
11	augustus_masked-ctg1125_pilon-processed-gene-0.17-mRNA-1
00	augustus_masked-ctg1126_pilon-processed-gene-0.20-mRNA-1
11	augustus_masked-ctg1127_pilon-processed-gene-2.7-mRNA-1
11	augustus_masked-ctg1127_pilon-processed-gene-2.8-mRNA-1
00	augustus_masked-ctg1129_pilon-processed-gene-0.34-mRNA-1
11	augustus_masked-ctg113_pilon-processed-gene-3.66-mRNA-1
01	augustus_masked-ctg1133_pilon-processed-gene-0.65-mRNA-1
00	augustus_masked-ctg1137_pilon-processed-gene-0.10-mRNA-1
01	augustus_masked-ctg114_pilon-processed-gene-3.72-mRNA-1
11	augustus_masked-ctg114_pilon-processed-gene-5.33-mRNA-1
11	augustus_masked-ctg114_pilon-processed-gene-5.36-mRNA-1
01	augustus_masked-ctg1142_pilon-processed-gene-0.12-mRNA-1
11	augustus_masked-ctg1144_pilon-processed-gene-0.22-mRNA-1
00	augustus_masked-ctg115_pilon-processed-gene-11.14-mRNA-1
00	augustus_masked-ctg115_pilon-processed-gene-14.42-mRNA-1
00	augustus_masked-ctg115_pilon-processed-gene-15.16-mRNA-1
00	augustus_masked-ctg1153_pilon-processed-gene-0.14-mRNA-1
00	augustus_masked-ctg1154_pilon-processed-gene-0.44-mRNA-1
11	augustus_masked-ctg1156_pilon-processed-gene-2.48-mRNA-1
11	augustus_masked-ctg1156_pilon-processed-gene-2.50-mRNA-1
11	augustus_masked-ctg1158_pilon-processed-gene-0.45-mRNA-1
11	augustus_masked-ctg1158_pilon-processed-gene-0.49-mRNA-1
00	augustus_masked-ctg1160_pilon-processed-gene-0.30-mRNA-1
00	augustus_masked-ctg1167_pilon-processed-gene-0.13-mRNA-1
10	augustus_masked-ctg1167_pilon-processed-gene-0.14-mRNA-1
00	augustus_masked-ctg1167_pilon-processed-gene-0.7-mRNA-1
11	augustus_masked-ctg1169_pilon-processed-gene-0.10-mRNA-1
00	augustus_masked-ctg1174_pilon-processed-gene-0.58-mRNA-1
00	augustus_masked-ctg1176_pilon-processed-gene-0.20-mRNA-1
11	augustus_masked-ctg118_pilon-processed-gene-2.7-mRNA-1
00	augustus_masked-ctg1185_pilon-processed-gene-0.66-mRNA-1
00	augustus_masked-ctg1186_pilon-processed-gene-0.11-mRNA-1
01	augustus_masked-ctg1186_pilon-processed-gene-0.2-mRNA-1
01	augustus_masked-ctg1188_pilon-processed-gene-0.36-mRNA-1
01	augustus_masked-ctg1188_pilon-processed-gene-0.61-mRNA-1
01	augustus_masked-ctg119_pilon-processed-gene-1.51-mRNA-1
00	augustus_masked-ctg119_pilon-processed-gene-10.35-mRNA-1
11	augustus_masked-ctg1190_pilon-processed-gene-0.29-mRNA-1
11	augustus_masked-ctg1190_pilon-processed-gene-0.30-mRNA-1
11	augustus_masked-ctg1190_pilon-processed-gene-0.32-mRNA-1
