"orth_id"	"L1"	"meth"
"853"	"Pec"	"methylated_gene-body"
"4789"	"Pec"	"methylated_gene-body"
"2509"	"Pec"	"methylated_gene-body"
"3387"	"Pec"	"methylated_gene-body"
"4159"	"Pec"	"methylated_gene-body"
"3449"	"Pec"	"methylated_gene-body"
"2314"	"Pec"	"methylated_gene-body"
"2096"	"Pec"	"methylated_gene-body"
"3764"	"Pec"	"methylated_gene-body"
"4668"	"Pec"	"methylated_gene-body"
"1595"	"Pec"	"methylated_gene-body"
"4523"	"Pec"	"methylated_gene-body"
"4935"	"Pec"	"methylated_gene-body"
"417"	"Pec"	"methylated_gene-body"
"2828"	"Pec"	"methylated_gene-body"
"4962"	"Pec"	"methylated_gene-body"
"4187"	"Pec"	"methylated_gene-body"
"2043"	"Pec"	"methylated_gene-body"
"950"	"Pec"	"methylated_gene-body"
"759"	"Pec"	"methylated_gene-body"
"4256"	"Pec"	"methylated_gene-body"
"3083"	"Pec"	"methylated_gene-body"
"4039"	"Pec"	"methylated_gene-body"
"3314"	"Pec"	"methylated_gene-body"
"4241"	"Pec"	"methylated_gene-body"
"3506"	"Pec"	"methylated_gene-body"
"1691"	"Pec"	"methylated_gene-body"
"3165"	"Pec"	"methylated_gene-body"
"2781"	"Pec"	"methylated_gene-body"
"1086"	"Pec"	"methylated_gene-body"
"4394"	"Pec"	"methylated_gene-body"
"2563"	"Pec"	"methylated_gene-body"
"2834"	"Pec"	"methylated_gene-body"
"2548"	"Pec"	"methylated_gene-body"
"685"	"Pec"	"methylated_gene-body"
"1321"	"Pec"	"methylated_gene-body"
"5060"	"Pec"	"methylated_gene-body"
"888"	"Pec"	"methylated_gene-body"
"3635"	"Pec"	"methylated_gene-body"
"4968"	"Pec"	"methylated_gene-body"
"313"	"Pec"	"methylated_gene-body"
"4996"	"Pec"	"methylated_gene-body"
"1486"	"Pec"	"methylated_gene-body"
"552"	"Pec"	"methylated_gene-body"
"3560"	"Pec"	"methylated_gene-body"
"4586"	"Pec"	"methylated_gene-body"
"3766"	"Pec"	"methylated_gene-body"
"1945"	"Pec"	"methylated_gene-body"
"4468"	"R07B"	"methylated_gene-body"
"4319"	"R07B"	"methylated_gene-body"
"1549"	"R07B"	"methylated_gene-body"
"3145"	"R07B"	"methylated_gene-body"
"1178"	"R07B"	"methylated_gene-body"
"2173"	"R07B"	"methylated_gene-body"
"561"	"R07B"	"methylated_gene-body"
"1034"	"R07B"	"methylated_gene-body"
"1535"	"R07B"	"methylated_gene-body"
"3398"	"R07B"	"methylated_gene-body"
"4728"	"R07B"	"methylated_gene-body"
"1158"	"R07B"	"methylated_gene-body"
"713"	"R07B"	"methylated_gene-body"
"183"	"R07B"	"methylated_gene-body"
"3028"	"R07B"	"methylated_gene-body"
"1470"	"R07B"	"methylated_gene-body"
"3770"	"R07B"	"methylated_gene-body"
"2461"	"R07B"	"methylated_gene-body"
"2472"	"R07B"	"methylated_gene-body"
"1219"	"R07B"	"methylated_gene-body"
"988"	"R07B"	"methylated_gene-body"
"4701"	"R07B"	"methylated_gene-body"
"2041"	"R07B"	"methylated_gene-body"
"652"	"R07B"	"methylated_gene-body"
"3611"	"R07B"	"methylated_gene-body"
"2008"	"R07B"	"methylated_gene-body"
"234"	"R07B"	"methylated_gene-body"
"4699"	"R07B"	"methylated_gene-body"
"859"	"R07B"	"methylated_gene-body"
"777"	"R07B"	"methylated_gene-body"
"2647"	"R07B"	"methylated_gene-body"
"834"	"R07B"	"methylated_gene-body"
"760"	"R07B"	"methylated_gene-body"
"1066"	"R07B"	"methylated_gene-body"
"4758"	"R07B"	"methylated_gene-body"
"4382"	"R07B"	"methylated_gene-body"
"1705"	"R07B"	"methylated_gene-body"
"274"	"R07B"	"methylated_gene-body"
"1765"	"R07B"	"methylated_gene-body"
"557"	"R07B"	"methylated_gene-body"
"2134"	"R07B"	"methylated_gene-body"
"2352"	"R07B"	"methylated_gene-body"
"1973"	"R07B"	"methylated_gene-body"
"951"	"R07B"	"methylated_gene-body"
"4338"	"R07B"	"methylated_gene-body"
"1605"	"R07B"	"methylated_gene-body"
"3891"	"R07B"	"methylated_gene-body"
"1204"	"R07B"	"methylated_gene-body"
"4605"	"R07B"	"methylated_gene-body"
"1576"	"R07B"	"methylated_gene-body"
"2035"	"R07B"	"methylated_gene-body"
"1485"	"R07B"	"methylated_gene-body"
"786"	"R07B"	"methylated_gene-body"
"1707"	"R07B"	"methylated_gene-body"
"3559"	"R07B"	"methylated_gene-body"
"1637"	"R07B"	"methylated_gene-body"
"1859"	"R07B"	"methylated_gene-body"
"773"	"P08H"	"methylated_gene-body"
"982"	"P08H"	"methylated_gene-body"
"3758"	"P08H"	"methylated_gene-body"
"1019"	"P08H"	"methylated_gene-body"
"419"	"P08H"	"methylated_gene-body"
"1382"	"P08H"	"methylated_gene-body"
"4918"	"P08H"	"methylated_gene-body"
"3735"	"P08H"	"methylated_gene-body"
"3592"	"P08H"	"methylated_gene-body"
"575"	"P08H"	"methylated_gene-body"
"737"	"P08H"	"methylated_gene-body"
"4081"	"P08H"	"methylated_gene-body"
"960"	"P08H"	"methylated_gene-body"
"730"	"P08H"	"methylated_gene-body"
"4674"	"P08H"	"methylated_gene-body"
"1944"	"P08H"	"methylated_gene-body"
"944"	"P08H"	"methylated_gene-body"
"728"	"P08H"	"methylated_gene-body"
"4484"	"P08H"	"methylated_gene-body"
"4019"	"P08H"	"methylated_gene-body"
"1798"	"P08H"	"methylated_gene-body"
"2149"	"P08H"	"methylated_gene-body"
"1100"	"P08H"	"methylated_gene-body"
"381"	"P08H"	"methylated_gene-body"
"1706"	"P08H"	"methylated_gene-body"
"1300"	"P08H"	"methylated_gene-body"
"4405"	"P08H"	"methylated_gene-body"
"2018"	"P08H"	"methylated_gene-body"
"3900"	"P08H"	"methylated_gene-body"
"5002"	"P08H"	"methylated_gene-body"
"1419"	"P08H"	"methylated_gene-body"
"391"	"P08H"	"methylated_gene-body"
"4358"	"P08H"	"methylated_gene-body"
"1761"	"P08H"	"methylated_gene-body"
"827"	"P08H"	"methylated_gene-body"
"582"	"P08H"	"methylated_gene-body"
"696"	"P08H"	"methylated_gene-body"
"1379"	"P08H"	"methylated_gene-body"
"2448"	"P08H"	"methylated_gene-body"
"897"	"P08H"	"methylated_gene-body"
"924"	"P08H"	"methylated_gene-body"
"405"	"P08H"	"methylated_gene-body"
"361"	"P08H"	"methylated_gene-body"
"2965"	"P08H"	"methylated_gene-body"
"1825"	"P08H"	"methylated_gene-body"
"3880"	"P08H"	"methylated_gene-body"
"1888"	"P08H"	"methylated_gene-body"
"2505"	"P08H"	"methylated_gene-body"
"4611"	"P08H"	"methylated_gene-body"
"3330"	"P08H"	"methylated_gene-body"
"1270"	"P08H"	"methylated_gene-body"
"4325"	"P08H"	"methylated_gene-body"
"1112"	"P08H"	"methylated_gene-body"
"4718"	"P08H"	"methylated_gene-body"
"2867"	"P08H"	"methylated_gene-body"
"3532"	"P08H"	"methylated_gene-body"
"614"	"P08H"	"methylated_gene-body"
"4267"	"P08H"	"methylated_gene-body"
"1964"	"P08H"	"methylated_gene-body"
"1663"	"P08H"	"methylated_gene-body"
"2764"	"P08H"	"methylated_gene-body"
"2623"	"P08H"	"methylated_gene-body"
"1828"	"P08H"	"methylated_gene-body"
"4928"	"P08H"	"methylated_gene-body"
"1430"	"P08H"	"methylated_gene-body"
"2308"	"P08H"	"methylated_gene-body"
"4320"	"P08H"	"methylated_gene-body"
"3824"	"P08H"	"methylated_gene-body"
"4572"	"P08H"	"methylated_gene-body"
"1612"	"P08H"	"methylated_gene-body"
"2975"	"P08H"	"methylated_gene-body"
"3024"	"P08H"	"methylated_gene-body"
"5036"	"P08H"	"methylated_gene-body"
"5027"	"P08H"	"methylated_gene-body"
"1365"	"P08H"	"methylated_gene-body"
"4787"	"P08H"	"methylated_gene-body"
"1743"	"P08H"	"methylated_gene-body"
"3143"	"P08H"	"methylated_gene-body"
"2916"	"P08H"	"methylated_gene-body"
"375"	"P08H"	"methylated_gene-body"
"1090"	"P08H"	"methylated_gene-body"
"1130"	"P08H"	"methylated_gene-body"
"425"	"P08H"	"methylated_gene-body"
"3321"	"P08H"	"methylated_gene-body"
"3047"	"P08H"	"methylated_gene-body"
"2470"	"P08H"	"methylated_gene-body"
"3322"	"P08H"	"methylated_gene-body"
"633"	"P08H"	"methylated_gene-body"
"483"	"P08H"	"methylated_gene-body"
"4772"	"P08H"	"methylated_gene-body"
"635"	"P08H"	"methylated_gene-body"
"1401"	"P08H"	"methylated_gene-body"
"171"	"P08H"	"methylated_gene-body"
"4252"	"P08H"	"methylated_gene-body"
"4659"	"P08H"	"methylated_gene-body"
"1276"	"P08H"	"methylated_gene-body"
"2473"	"P08H"	"methylated_gene-body"
"3936"	"P08H"	"methylated_gene-body"
"1138"	"P08H"	"methylated_gene-body"
"4392"	"P08H"	"methylated_gene-body"
"2549"	"P08H"	"methylated_gene-body"
"4284"	"P08H"	"methylated_gene-body"
"4285"	"P08H"	"methylated_gene-body"
"3400"	"P08H"	"methylated_gene-body"
"201"	"P08H"	"methylated_gene-body"
"2166"	"P08H"	"methylated_gene-body"
"2879"	"P08H"	"methylated_gene-body"
"1213"	"P08H"	"methylated_gene-body"
"4472"	"P08H"	"methylated_gene-body"
"3595"	"P08H"	"methylated_gene-body"
"485"	"P08H"	"methylated_gene-body"
"3228"	"P08H"	"methylated_gene-body"
"5040"	"P08H"	"methylated_gene-body"
"3507"	"P08H"	"methylated_gene-body"
"846"	"P08H"	"methylated_gene-body"
"3675"	"P08H"	"methylated_gene-body"
"1341"	"P08H"	"methylated_gene-body"
"3704"	"P08H"	"methylated_gene-body"
"643"	"P08H"	"methylated_gene-body"
"2445"	"P08H"	"methylated_gene-body"
"4288"	"P08H"	"methylated_gene-body"
"1988"	"P08H"	"methylated_gene-body"
"4989"	"P08H"	"methylated_gene-body"
"587"	"P08H"	"methylated_gene-body"
"1731"	"P08H"	"methylated_gene-body"
"4624"	"P08H"	"methylated_gene-body"
"1216"	"P08H"	"methylated_gene-body"
