"ind"	"isgene"	"semiquant_methfreq"	"count"
"P08H-3"	"Outside of genes"	"high (>75%)"	289960
"P08H-3"	"Outside of genes"	"intermediate (25-75%)"	1413719
"P08H-3"	"Outside of genes"	"low (<25%)"	1180473
"P08H-3"	"Outside of genes"	"no methylation"	7301773
"P08H-3"	"Within genes"	"high (>75%)"	917483
"P08H-3"	"Within genes"	"intermediate (25-75%)"	848186
"P08H-3"	"Within genes"	"low (<25%)"	302764
"P08H-3"	"Within genes"	"no methylation"	1969758
"Pec"	"Outside of genes"	"high (>75%)"	2032083
"Pec"	"Outside of genes"	"intermediate (25-75%)"	1400186
"Pec"	"Outside of genes"	"low (<25%)"	6198808
"Pec"	"Outside of genes"	"no methylation"	14459633
"Pec"	"Within genes"	"high (>75%)"	2537661
"Pec"	"Within genes"	"intermediate (25-75%)"	715526
"Pec"	"Within genes"	"low (<25%)"	939088
"Pec"	"Within genes"	"no methylation"	2128491
"R07B-5"	"Outside of genes"	"high (>75%)"	943972
"R07B-5"	"Outside of genes"	"intermediate (25-75%)"	950938
"R07B-5"	"Outside of genes"	"low (<25%)"	5538949
"R07B-5"	"Outside of genes"	"no methylation"	5497392
"R07B-5"	"Within genes"	"high (>75%)"	1617628
"R07B-5"	"Within genes"	"intermediate (25-75%)"	614479
"R07B-5"	"Within genes"	"low (<25%)"	1246607
"R07B-5"	"Within genes"	"no methylation"	1531154
"P08H-3"	"Overall"	"high (>75%)"	1207443
"P08H-3"	"Overall"	"intermediate (25-75%)"	2261905
"P08H-3"	"Overall"	"low (<25%)"	1483237
"P08H-3"	"Overall"	"no methylation"	9271531
"Pec"	"Overall"	"high (>75%)"	4569744
"Pec"	"Overall"	"intermediate (25-75%)"	2115712
"Pec"	"Overall"	"low (<25%)"	7137896
"Pec"	"Overall"	"no methylation"	16588124
"R07B-5"	"Overall"	"high (>75%)"	2561600
"R07B-5"	"Overall"	"intermediate (25-75%)"	1565417
"R07B-5"	"Overall"	"low (<25%)"	6785556
"R07B-5"	"Overall"	"no methylation"	7028546
"P08H-3"	"Within exons"	"high (>75%)"	622980
"P08H-3"	"Within exons"	"intermediate (25-75%)"	460884
"P08H-3"	"Within exons"	"low (<25%)"	191768
"P08H-3"	"Within exons"	"no methylation"	1506634
"P08H-3"	"Within introns"	"high (>75%)"	1209384
"P08H-3"	"Within introns"	"intermediate (25-75%)"	1232936
"P08H-3"	"Within introns"	"low (<25%)"	412846
"P08H-3"	"Within introns"	"no methylation"	2428822
"Pec"	"Within exons"	"high (>75%)"	775146
"Pec"	"Within exons"	"intermediate (25-75%)"	184776
"Pec"	"Within exons"	"low (<25%)"	267980
"Pec"	"Within exons"	"no methylation"	822667
"Pec"	"Within introns"	"high (>75%)"	1759928
"Pec"	"Within introns"	"intermediate (25-75%)"	530019
"Pec"	"Within introns"	"low (<25%)"	670141
"Pec"	"Within introns"	"no methylation"	1303792
"R07B-5"	"Within exons"	"high (>75%)"	630851
"R07B-5"	"Within exons"	"intermediate (25-75%)"	145621
"R07B-5"	"Within exons"	"low (<25%)"	354166
"R07B-5"	"Within exons"	"no methylation"	686929
"R07B-5"	"Within introns"	"high (>75%)"	983996
"R07B-5"	"Within introns"	"intermediate (25-75%)"	467959
"R07B-5"	"Within introns"	"low (<25%)"	890811
"R07B-5"	"Within introns"	"no methylation"	842259
"P08H-3"	"ClassI_Helicase"	"high (>75%)"	396
"P08H-3"	"ClassI_Helicase"	"intermediate (25-75%)"	1560
"P08H-3"	"ClassI_Helicase"	"low (<25%)"	1331
"P08H-3"	"ClassI_Helicase"	"no methylation"	12285
"P08H-3"	"ClassI_Transposase"	"high (>75%)"	6848
"P08H-3"	"ClassI_Transposase"	"intermediate (25-75%)"	28259
"P08H-3"	"ClassI_Transposase"	"low (<25%)"	25418
"P08H-3"	"ClassI_Transposase"	"no methylation"	216815
"P08H-3"	"ClassI_Tyrosine_Recombinase"	"high (>75%)"	211
"P08H-3"	"ClassI_Tyrosine_Recombinase"	"intermediate (25-75%)"	739
"P08H-3"	"ClassI_Tyrosine_Recombinase"	"low (<25%)"	537
