"orth_id"	"L1"	"meth"
"2336"	"Pec"	"methylated_promoter"
"3030"	"Pec"	"methylated_promoter"
"2519"	"Pec"	"methylated_promoter"
"3373"	"Pec"	"methylated_promoter"
"1543"	"Pec"	"methylated_promoter"
"4924"	"Pec"	"methylated_promoter"
"4927"	"Pec"	"methylated_promoter"
"2377"	"Pec"	"methylated_promoter"
"1738"	"Pec"	"methylated_promoter"
"2385"	"Pec"	"methylated_promoter"
"586"	"Pec"	"methylated_promoter"
"1645"	"Pec"	"methylated_promoter"
"1265"	"Pec"	"methylated_promoter"
"3982"	"Pec"	"methylated_promoter"
"222"	"Pec"	"methylated_promoter"
"3833"	"Pec"	"methylated_promoter"
"3101"	"Pec"	"methylated_promoter"
"1171"	"Pec"	"methylated_promoter"
"4724"	"Pec"	"methylated_promoter"
"292"	"Pec"	"methylated_promoter"
"1598"	"Pec"	"methylated_promoter"
"1919"	"Pec"	"methylated_promoter"
"1157"	"Pec"	"methylated_promoter"
"1331"	"Pec"	"methylated_promoter"
"2724"	"Pec"	"methylated_promoter"
"2800"	"Pec"	"methylated_promoter"
"2881"	"Pec"	"methylated_promoter"
"4790"	"Pec"	"methylated_promoter"
"478"	"Pec"	"methylated_promoter"
"212"	"Pec"	"methylated_promoter"
"1326"	"Pec"	"methylated_promoter"
"4414"	"Pec"	"methylated_promoter"
"1610"	"Pec"	"methylated_promoter"
"3983"	"Pec"	"methylated_promoter"
"2198"	"Pec"	"methylated_promoter"
"1350"	"Pec"	"methylated_promoter"
"4209"	"Pec"	"methylated_promoter"
"166"	"Pec"	"methylated_promoter"
"4363"	"Pec"	"methylated_promoter"
"1700"	"Pec"	"methylated_promoter"
"3260"	"Pec"	"methylated_promoter"
"2899"	"Pec"	"methylated_promoter"
"3926"	"Pec"	"methylated_promoter"
"1351"	"Pec"	"methylated_promoter"
"4480"	"Pec"	"methylated_promoter"
"847"	"Pec"	"methylated_promoter"
"649"	"Pec"	"methylated_promoter"
"2588"	"Pec"	"methylated_promoter"
"2786"	"Pec"	"methylated_promoter"
"209"	"Pec"	"methylated_promoter"
"330"	"Pec"	"methylated_promoter"
"3286"	"Pec"	"methylated_promoter"
"905"	"Pec"	"methylated_promoter"
"2318"	"Pec"	"methylated_promoter"
"3673"	"Pec"	"methylated_promoter"
"190"	"Pec"	"methylated_promoter"
"2319"	"Pec"	"methylated_promoter"
"1708"	"Pec"	"methylated_promoter"
"3153"	"Pec"	"methylated_promoter"
"3194"	"Pec"	"methylated_promoter"
"2851"	"Pec"	"methylated_promoter"
"3428"	"Pec"	"methylated_promoter"
"3288"	"Pec"	"methylated_promoter"
"4063"	"Pec"	"methylated_promoter"
"5053"	"Pec"	"methylated_promoter"
"291"	"Pec"	"methylated_promoter"
"833"	"Pec"	"methylated_promoter"
"3601"	"Pec"	"methylated_promoter"
"2183"	"Pec"	"methylated_promoter"
"1044"	"Pec"	"methylated_promoter"
"3718"	"Pec"	"methylated_promoter"
"1009"	"Pec"	"methylated_promoter"
"3746"	"Pec"	"methylated_promoter"
"3876"	"Pec"	"methylated_promoter"
"3775"	"Pec"	"methylated_promoter"
"2754"	"Pec"	"methylated_promoter"
"246"	"Pec"	"methylated_promoter"
"734"	"Pec"	"methylated_promoter"
"1152"	"Pec"	"methylated_promoter"
"3122"	"Pec"	"methylated_promoter"
"2945"	"Pec"	"methylated_promoter"
"4578"	"Pec"	"methylated_promoter"
"2769"	"Pec"	"methylated_promoter"
"883"	"Pec"	"methylated_promoter"
"805"	"Pec"	"methylated_promoter"
"3919"	"Pec"	"methylated_promoter"
"390"	"Pec"	"methylated_promoter"
"2889"	"Pec"	"methylated_promoter"
"3340"	"Pec"	"methylated_promoter"
"309"	"Pec"	"methylated_promoter"
"2877"	"Pec"	"methylated_promoter"
"2084"	"Pec"	"methylated_promoter"
