LTR	strand	LTR_type	insertion_time_my	CpGs_count	CpGoe	location	meth_meancallcov	meth_meanfreq	callCpGs_count	meth_cov	meth_depth	meth_binary	recent_insertion	feature_size	genome	insertion_time_qbins_my	flank4kb_meth_meanfreq	flank4kb_meth_cov	flank4kb_meth_depth	flank4kb_callCpGs_count	reps_CpG_density	reps_CpGoe
PE_Scaf10002:98572..103585	+	Gypsy	1.047164	279	1.0233	.	23.03396226	0.5883238551	265	0.769811320754717	0.7642442235294119	1	0.0	5024	P. echinospica	(0.7, 1.1]	0.03028864021375	0.3645059375	0.08362678125	30.84375	0.0591398	0.7692450000000001
PE_Scaf10030:158022..162322	+	Gypsy	0.261054	316	1.19504	.	13.47407407	0.01583527037	270	0.14444444444444443	0.10962879487179486	0	0.5	4311	P. echinospica	(0.2, 0.4]	0.05650925135645161	0.5417115806451612	0.10773749032258065	11.32258064516129	0.0544218	0.8970699999999999
PE_Scaf10033:89081..93720	+	Gypsy	0.276041	316	1.03275	.	12.24752475	0.009693851485	202	0.09405940594059406	0.10306094736842106	0	0.5	4649	P. echinospica	(0.2, 0.4]	0.02104454048096875	0.28331496875	0.07747319062500001	34.28125	0.0652174	0.8922866666666667
PE_Scaf10033:298024..303029	-	Gypsy	0.510566	345	1.07304	.	21.38271605	0.0212093466	324	0.22530864197530864	0.09413463424657535	0	0.0	5016	P. echinospica	(0.4, 0.7]	0.02809375594151724	0.1913696724137931	0.1397368068965517	38.44827586206897	0.0528634	1.8318083333333333
PE_Scaf10036:12771..17302	+	Gypsy	0.990527	342	1.12838	.	19.0704698	0.01478270101	298	0.20134228187919462	0.07342074833333334	0	0.0	4542	P. echinospica	(0.7, 1.1]	0.25789640781333334	0.6052303333333333	0.30996107666666667	19.866666666666667	0.044586	1.801285
PE_Scaf10036:248614..253253	+	Gypsy	0.0	313	1.02654	.	12.25974026	0.01710115498	231	0.1471861471861472	0.11618725882352941	0	1.0	4650	P. echinospica	(0.0, 0.2]	0.011672637553375	0.1084472	0.10180930625	38.8125	0.0719424	0.9530916666666668
PE_Scaf10045:53185..54664	+	Gypsy	0.250837	81	1.23809	.	26.35443038	0.0224673962	79	0.25316455696202533	0.088746215	0	0.5	1490	P. echinospica	(0.2, 0.4]	0.0291183394346875	0.43676959375	0.06690450625	34.71875	0.0326797	0.7702283333333333
PE_Scaf10045:201605..205965	-	Gypsy	0.254153	378	1.29913	.	19.62146893	0.02003679322	354	0.1694915254237288	0.11821708000000002	0	0.5	4371	P. echinospica	(0.2, 0.4]	0.0307084277003125	0.374227375	0.082628996875	28.625	0.0728477	0.9769433333333334
PE_Scaf10076:165782..171712	?		1.179274	272	0.941285	.	17.06614786	0.02193033424	257	0.21011673151750973	0.10437214629629628	0	0.0	5941	P. echinospica	(1.1, 5.0]	0.02230935506484375	0.265357959375	0.086007271875	49.40625	0.0323276	0.48942899999999995
PE_Scaf10076:233880..238269	+	Gypsy	1.120378	279	1.14651	.	23.41984733	0.0211765355	262	0.27099236641221375	0.07814439859154929	0	0.0	4400	P. echinospica	(1.1, 5.0]	0.262536521266875	0.52594109375	0.31689282812499997	26.0	0.05395685	0.86904
PE_Scaf10076:365784..368055	-	Gypsy	0.0	180	1.28183	.	17.0	0.01601091242	161	0.12422360248447205	0.128887845	0	1.0	2282	P. echinospica	(0.0, 0.2]	0.04268720511859375	0.33907065625	0.109698928125	43.3125	0.0530303	0.8446883333333334
