#Accession	No_orfs	Coverage	Abundance	Name	Description
TIGR00001	1	0.95238	0.000303	TIGR00001	rpmI_bact: ribosomal protein L35
TIGR00002	1	0.948717	0.000302	TIGR00002	S16: ribosomal protein S16
TIGR00003	11	9.151515	0.002921	TIGR00003	TIGR00003: copper ion binding protein
TIGR00004	4	2.912	0.000929	TIGR00004	TIGR00004: reactive intermediate/imine deaminase
TIGR00005	4	2.281879	0.000728	TIGR00005	rluA_subfam: pseudouridine synthase, RluA family
TIGR00006	1	0.896774	0.000286	TIGR00006	TIGR00006: 16S rRNA (cytosine(1402)-N(4))-methyltransferase
TIGR00010	9	4.498023	0.001435	TIGR00010	TIGR00010: hydrolase, TatD family
TIGR00012	2	1.464285	0.000467	TIGR00012	L29: ribosomal protein L29
TIGR00019	2	1.263157	0.000403	TIGR00019	prfA: peptide chain release factor 1
TIGR00021	1	0.995412	0.000317	TIGR00021	rpiA: ribose 5-phosphate isomerase A
TIGR00025	1	0.214285	6.8e-05	TIGR00025	Mtu_efflux: ABC transporter efflux protein, DrrB family
TIGR00027	3	1.339768	0.000427	TIGR00027	mthyl_TIGR00027: methyltransferase, TIGR00027 family
TIGR00030	1	0.965517	0.000308	TIGR00030	S21p: ribosomal protein S21
TIGR00032	3	0.758883	0.000242	TIGR00032	argG: argininosuccinate synthase
TIGR00037	1	0.776923	0.000247	TIGR00037	eIF_5A: translation elongation factor IF5A
TIGR00039	1	0.975806	0.000311	TIGR00039	6PTHBS: 6-pyruvoyl tetrahydropterin synthase/QueD family protein
TIGR00040	1	0.886075	0.000282	TIGR00040	yfcE: phosphodiesterase, MJ0936 family
TIGR00041	1	0.984693	0.000314	TIGR00041	DTMP_kinase: dTMP kinase
TIGR00042	1	0.98913	0.000315	TIGR00042	TIGR00042: non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family
TIGR00043	1	0.657657	0.000209	TIGR00043	TIGR00043: probable rRNA maturation factor YbeY
TIGR00044	1	0.873362	0.000278	TIGR00044	TIGR00044: pyridoxal phosphate enzyme, YggS family
TIGR00049	2	1.971698	0.000629	TIGR00049	TIGR00049: iron-sulfur cluster assembly accessory protein
TIGR00051	1	0.743589	0.000237	TIGR00051	TIGR00051: acyl-CoA thioester hydrolase, YbgC/YbaW family
TIGR00052	1	0.893617	0.000285	TIGR00052	TIGR00052: nudix-type nucleoside diphosphatase, YffH/AdpP family
TIGR00054	4	1.04513	0.000333	TIGR00054	TIGR00054: RIP metalloprotease RseP
TIGR00055	1	0.97807	0.000312	TIGR00055	uppS: di-trans,poly-cis-decaprenylcistransferase
TIGR00057	1	0.70297	0.000224	TIGR00057	TIGR00057: tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family
TIGR00058	26	24.486956	0.007816	TIGR00058	Hemerythrin: hemerythrin family non-heme iron protein
TIGR00059	1	0.883928	0.000282	TIGR00059	L17: ribosomal protein L17
