#Accession	No_orfs	Coverage	Abundance	Name	Description
TIGR00002	1	0.923076	0.000298	TIGR00002	S16: ribosomal protein S16
TIGR00003	16	14.560606	0.004707	TIGR00003	TIGR00003: copper ion binding protein
TIGR00004	3	2.488	0.000804	TIGR00004	TIGR00004: reactive intermediate/imine deaminase
TIGR00005	5	2.600671	0.00084	TIGR00005	rluA_subfam: pseudouridine synthase, RluA family
TIGR00006	3	0.6	0.000193	TIGR00006	TIGR00006: 16S rRNA (cytosine(1402)-N(4))-methyltransferase
TIGR00007	1	0.887445	0.000286	TIGR00007	TIGR00007: 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase
TIGR00009	1	0.965517	0.000312	TIGR00009	L28: ribosomal protein L28
TIGR00010	4	1.537549	0.000497	TIGR00010	TIGR00010: hydrolase, TatD family
TIGR00012	2	1.267857	0.000409	TIGR00012	L29: ribosomal protein L29
TIGR00019	1	0.986149	0.000318	TIGR00019	prfA: peptide chain release factor 1
TIGR00020	4	1.112328	0.000359	TIGR00020	prfB: peptide chain release factor 2
TIGR00021	2	0.793577	0.000256	TIGR00021	rpiA: ribose 5-phosphate isomerase A
TIGR00027	3	1.235521	0.000399	TIGR00027	mthyl_TIGR00027: methyltransferase, TIGR00027 family
TIGR00030	1	0.982758	0.000317	TIGR00030	S21p: ribosomal protein S21
TIGR00032	1	0.982233	0.000317	TIGR00032	argG: argininosuccinate synthase
TIGR00033	3	1.877492	0.000606	TIGR00033	aroC: chorismate synthase
TIGR00037	1	0.823076	0.000266	TIGR00037	eIF_5A: translation elongation factor IF5A
TIGR00038	1	0.983695	0.000318	TIGR00038	efp: translation elongation factor P
TIGR00039	1	0.967741	0.000312	TIGR00039	6PTHBS: 6-pyruvoyl tetrahydropterin synthase/QueD family protein
TIGR00040	1	0.981012	0.000317	TIGR00040	yfcE: phosphodiesterase, MJ0936 family
TIGR00041	1	0.994897	0.000321	TIGR00041	DTMP_kinase: dTMP kinase
TIGR00042	4	2.635869	0.000852	TIGR00042	TIGR00042: non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family
TIGR00044	2	0.908296	0.000293	TIGR00044	TIGR00044: pyridoxal phosphate enzyme, YggS family
TIGR00049	2	1.990566	0.000643	TIGR00049	TIGR00049: iron-sulfur cluster assembly accessory protein
TIGR00052	1	0.755319	0.000244	TIGR00052	TIGR00052: nudix-type nucleoside diphosphatase, YffH/AdpP family
TIGR00054	7	1.460807	0.000472	TIGR00054	TIGR00054: RIP metalloprotease RseP
TIGR00055	2	0.855263	0.000276	TIGR00055	uppS: di-trans,poly-cis-decaprenylcistransferase
TIGR00057	1	0.935643	0.000302	TIGR00057	TIGR00057: tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family
TIGR00059	2	1.071428	0.000346	TIGR00059	L17: ribosomal protein L17
TIGR00061	1	0.544554	0.000176	TIGR00061	L21: ribosomal protein L21
TIGR00062	1	0.819277	0.000264	TIGR00062	L27: ribosomal protein L27
TIGR00063	4	1.688888	0.000545	TIGR00063	folE: GTP cyclohydrolase I
TIGR00064	4	1.878136	0.000607	TIGR00064	ftsY: signal recognition particle-docking protein FtsY
TIGR00065	16	6.067988	0.001961	TIGR00065	ftsZ: cell division protein FtsZ
TIGR00066	7	5.610038	0.001813	TIGR00066	g_glut_trans: gamma-glutamyltransferase
TIGR00068	1	0.826666	0.000267	TIGR00068	glyox_I: lactoylglutathione lyase
TIGR00071	3	1.337719	0.000432	TIGR00071	hisT_truA: tRNA pseudouridine(38-40) synthase
TIGR00077	2	1.670731	0.00054	TIGR00077	lspA: signal peptidase II
TIGR00078	1	0.996282	0.000322	TIGR00078	nadC: nicotinate-nucleotide diphosphorylase (carboxylating)
TIGR00080	3	2.148148	0.000694	TIGR00080	pimt: protein-L-isoaspartate O-methyltransferase
TIGR00081	1	0.85663	0.000276	TIGR00081	purC: phosphoribosylaminoimidazolesuccinocarboxamide synthase
TIGR00082	2	1.165217	0.000376	TIGR00082	rbfA: ribosome-binding factor A
TIGR00083	2	0.5	0.000161	TIGR00083	ribF: riboflavin biosynthesis protein RibF
TIGR00090	2	1.30303	0.000421	TIGR00090	rsfS_iojap_ybeB: ribosome silencing factor
TIGR00091	3	1.195876	0.000386	TIGR00091	TIGR00091: tRNA (guanine-N(7)-)-methyltransferase
TIGR00092	3	1.847826	0.000597	TIGR00092	TIGR00092: GTP-binding protein YchF
TIGR00094	2	0.961259	0.00031	TIGR00094	tRNA_TruD_broad: tRNA pseudouridine synthase, TruD family
TIGR00101	2	0.492462	0.000159	TIGR00101	ureG: urease accessory protein UreG
TIGR00103	1	0.778846	0.000251	TIGR00103	DNA_YbaB_EbfC: DNA-binding protein, YbaB/EbfC family
TIGR00104	1	0.937062	0.000302	TIGR00104	tRNA_TsaA: tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase TsaA
TIGR00107	1	0.978448	0.000316	TIGR00107	deoD: purine nucleoside phosphorylase
TIGR00109	1	0.987577	0.000319	TIGR00109	hemH: ferrochelatase
TIGR00111	1	0.982905	0.000317	TIGR00111	pelota: mRNA surveillance protein pelota
TIGR00112	3	2.410646	0.000779	TIGR00112	proC: pyrroline-5-carboxylate reductase
TIGR00114	1	0.855072	0.000276	TIGR00114	lumazine-synth: 6,7-dimethyl-8-ribityllumazine synthase
TIGR00115	3	0.587804	0.00019	TIGR00115	tig: trigger factor
TIGR00116	2	0.80546	0.00026	TIGR00116	tsf: translation elongation factor Ts
TIGR00118	2	0.764811	0.000247	TIGR00118	acolac_lg: acetolactate synthase, large subunit, biosynthetic type
TIGR00121	1	0.842553	0.000272	TIGR00121	birA_ligase: biotin--[acetyl-CoA-carboxylase] ligase
TIGR00125	49	44.76923	0.014473	TIGR00125	cyt_tran_rel: cytidyltransferase-like domain
TIGR00126	1	0.966824	0.000312	TIGR00126	deoC: deoxyribose-phosphate aldolase
TIGR00127	2	1.98533	0.000641	TIGR00127	nadp_idh_euk: isocitrate dehydrogenase, NADP-dependent
TIGR00128	9	4.027586	0.001302	TIGR00128	fabD: malonyl CoA-acyl carrier protein transacylase
TIGR00131	3	1.448453	0.000468	TIGR00131	gal_kin: galactokinase
TIGR00132	5	2.7103	0.000876	TIGR00132	gatA: aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase, A subunit
