#Accession	No_orfs	Coverage	Abundance	Name	Description
PF00001.21	108	80.403041	0.002409	7tm_1	7 transmembrane receptor (rhodopsin family)
PF00002.24	17	12.939024	0.000387	7tm_2	7 transmembrane receptor (Secretin family)
PF00003.22	20	16.544303	0.000495	7tm_3	7 transmembrane sweet-taste receptor of 3 GCPR
PF00004.29	62	48.098484	0.001441	AAA	ATPase family associated with various cellular activities (AAA)
PF00005.27	96	79.29927	0.002376	ABC_tran	ABC transporter
PF00006.25	3	3	8.9e-05	ATP-synt_ab	ATP synthase alpha/beta family, nucleotide-binding domain
PF00007.22	1	0.714285	2.1e-05	Cys_knot	Cystine-knot domain
PF00008.27	1410	1140.0625	0.034159	EGF	EGF-like domain
PF00009.27	16	13.871134	0.000415	GTP_EFTU	Elongation factor Tu GTP binding domain
PF00010.26	58	43.45283	0.001301	HLH	Helix-loop-helix DNA-binding domain
PF00011.21	17	14.107843	0.000422	HSP20	Hsp20/alpha crystallin family
PF00012.20	13	7.859766	0.000235	HSP70	Hsp70 protein
PF00013.29	42	37.469696	0.001122	KH_1	KH domain
PF00014.23	116	84.188679	0.002522	Kunitz_BPTI	Kunitz/Bovine pancreatic trypsin inhibitor domain
PF00015.21	3	0.866279	2.5e-05	MCPsignal	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00017.24	47	39.428571	0.001181	SH2	SH2 domain
PF00018.28	46	36.520833	0.001094	SH3_1	SH3 domain
PF00019.20	12	10.009615	0.000299	TGF_beta	Transforming growth factor beta like domain
PF00020.18	4	3.717948	0.000111	TNFR_c6	TNFR/NGFR cysteine-rich region
PF00022.19	22	14.886977	0.000446	Actin	Actin
PF00023.30	64	37.28125	0.001117	Ank	Ankyrin repeat
PF00024.26	22	13.113924	0.000392	PAN_1	PAN domain
PF00025.21	28	19.4	0.000581	Arf	ADP-ribosylation factor family
PF00026.23	2	1.990476	5.9e-05	Asp	Eukaryotic aspartyl protease
PF00027.29	45	29.730337	0.00089	cNMP_binding	Cyclic nucleotide-binding domain
PF00028.17	335	300.989247	0.009018	Cadherin	Cadherin domain
PF00031.21	1	0.902173	2.7e-05	Cystatin	Cystatin domain
PF00034.21	1	0.967391	2.8e-05	Cytochrom_C	Cytochrome c
PF00035.26	21	17.104477	0.000512	dsrm	Double-stranded RNA binding motif
PF00036.32	241	187.068965	0.005605	EF-hand_1	EF hand
PF00037.27	2	1.75	5.2e-05	Fer4	4Fe-4S binding domain
PF00038.21	2	1.833333	5.4e-05	Filament	Intermediate filament protein
PF00040.19	11	8.166666	0.000244	fn2	Fibronectin type II domain
PF00041.21	441	331.199999	0.009923	fn3	Fibronectin type III domain
PF00042.22	39	31.818181	0.000953	Globin	Globin
PF00043.25	5	2.88172	8.6e-05	GST_C	Glutathione S-transferase, C-terminal domain
PF00044.24	1	0.980198	2.9e-05	Gp_dh_N	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00045.19	21	15.777777	0.000472	Hemopexin	Hemopexin
PF00046.29	98	83.578947	0.002504	Homeodomain	Homeodomain
PF00047.25	35	10.436781	0.000312	ig	Immunoglobulin domain
PF00049.18	1	0.988235	2.9e-05	Insulin	Insulin/IGF/Relaxin family
PF00051.18	33	22.367088	0.00067	Kringle	Kringle domain
PF00052.18	8	6.014814	0.00018	Laminin_B	Laminin B (Domain IV)
PF00053.24	113	87.020408	0.002607	Laminin_EGF	Laminin EGF domain
PF00054.23	16	13.580152	0.000406	Laminin_G_1	Laminin G domain
PF00055.17	17	8.08547	0.000242	Laminin_N	Laminin N-terminal (Domain VI)
PF00056.23	7	5.404255	0.000161	Ldh_1_N	lactate/malate dehydrogenase, NAD binding domain
PF00057.18	217	179.297297	0.005372	Ldl_recept_a	Low-density lipoprotein receptor domain class A
PF00058.17	284	207.880952	0.006228	Ldl_recept_b	Low-density lipoprotein receptor repeat class B
PF00059.21	107	71.675925	0.002147	Lectin_C	Lectin C-type domain
PF00060.26	19	11.348993	0.00034	Lig_chan	Ligand-gated ion channel
PF00061.23	1	1	2.9e-05	Lipocalin	Lipocalin / cytosolic fatty-acid binding protein family
PF00063.21	36	17.511078	0.000524	Myosin_head	Myosin head (motor domain)
PF00066.17	8	6.833333	0.000204	Notch	LNR domain
PF00067.22	35	24.708423	0.00074	p450	Cytochrome P450
PF00069.25	245	171.390151	0.005135	Pkinase	Protein kinase domain
PF00071.22	86	66.098765	0.00198	Ras	Ras family
PF00075.24	1	0.972027	2.9e-05	RNase_H	RNase H
PF00076.22	287	232.328571	0.006961	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00078.27	43	26.468468	0.000793	RVT_1	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00079.20	77	53.983827	0.001617	Serpin	Serpin (serine protease inhibitor)
PF00080.20	5	4.816901	0.000144	Sod_Cu	Copper/zinc superoxide dismutase (SODC)
PF00081.22	4	3.963414	0.000118	Sod_Fe_N	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082.22	9	6.355704	0.00019	Peptidase_S8	Subtilase family
PF00083.24	36	18.566371	0.000556	Sugar_tr	Sugar (and other) transporter
PF00084.20	666	566.214285	0.016965	Sushi	Sushi repeat (SCR repeat)
PF00085.20	47	37.126213	0.001112	Thioredoxin	Thioredoxin
PF00086.18	25	15.552238	0.000465	Thyroglobulin_1	Thyroglobulin type-1 repeat
PF00088.18	1	1	2.9e-05	Trefoil	Trefoil (P-type) domain
PF00089.26	110	71.927601	0.002155	Trypsin	Trypsin
PF00090.19	286	217.469387	0.006516	TSP_1	Thrombospondin type 1 domain
PF00091.25	73	28.010152	0.000839	Tubulin	Tubulin/FtsZ family, GTPase domain
PF00092.28	148	130.451428	0.003908	VWA	von Willebrand factor type A domain
PF00093.18	59	49.315789	0.001477	VWC	von Willebrand factor type C domain
PF00094.25	82	55.5	0.001662	VWD	von Willebrand factor type D domain
PF00095.21	81	57.560975	0.001724	WAP	WAP-type (Whey Acidic Protein) 'four-disulfide core'
PF00096.26	2039	1930.217391	0.057835	zf-C2H2	Zinc finger, C2H2 type
PF00097.25	23	14.463414	0.000433	zf-C3HC4	Zinc finger, C3HC4 type (RING finger)
PF00098.23	35	27.222222	0.000815	zf-CCHC	Zinc knuckle
PF00100.23	6	4.785156	0.000143	Zona_pellucida	Zona pellucida-like domain
PF00102.27	72	55.531914	0.001663	Y_phosphatase	Protein-tyrosine phosphatase
PF00104.30	31	23.241545	0.000696	Hormone_recep	Ligand-binding domain of nuclear hormone receptor
PF00105.18	40	31.771428	0.000951	zf-C4	Zinc finger, C4 type (two domains)
PF00106.25	63	42.646153	0.001277	adh_short	short chain dehydrogenase
PF00107.26	12	8.576923	0.000256	ADH_zinc_N	Zinc-binding dehydrogenase
PF00108.23	13	4.942307	0.000148	Thiolase_N	Thiolase, N-terminal domain
PF00109.26	20	10.628458	0.000318	ketoacyl-synt	Beta-ketoacyl synthase, N-terminal domain
PF00110.19	11	7.967532	0.000238	wnt	wnt family
PF00111.27	7	5.166666	0.000154	Fer2	2Fe-2S iron-sulfur cluster binding domain
PF00112.23	33	21.201834	0.000635	Peptidase_C1	Papain family cysteine protease
PF00113.22	3	2.087837	6.2e-05	Enolase_C	Enolase, C-terminal TIM barrel domain
PF00117.28	5	3.731578	0.000111	GATase	Glutamine amidotransferase class-I
PF00118.24	15	12.501018	0.000374	Cpn60_TCP1	TCP-1/cpn60 chaperonin family
PF00120.24	8	4.371014	0.00013	Gln-synt_C	Glutamine synthetase, catalytic domain
PF00121.18	1	0.995884	2.9e-05	TIM	Triosephosphate isomerase
PF00122.20	26	12.59116	0.000377	E1-E2_ATPase	E1-E2 ATPase
PF00125.24	100	54.603053	0.001636	Histone	Core histone H2A/H2B/H3/H4
PF00128.24	8	4.465875	0.000133	Alpha-amylase	Alpha amylase, catalytic domain
PF00130.22	37	28.716981	0.00086	C1_1	Phorbol esters/diacylglycerol binding domain (C1 domain)
PF00132.24	26	19.638888	0.000588	Hexapep	Bacterial transferase hexapeptide (six repeats)
PF00133.22	14	5.056478	0.000151	tRNA-synt_1	tRNA synthetases class I (I, L, M and V)
PF00134.23	30	18.850393	0.000564	Cyclin_N	Cyclin, N-terminal domain
PF00135.28	15	10.630859	0.000318	COesterase	Carboxylesterase family
PF00136.21	5	3.348583	0.0001	DNA_pol_B	DNA polymerase family B
PF00137.21	5	4.533333	0.000135	ATP-synt_C	ATP synthase subunit C
PF00144.24	6	5.20606	0.000155	Beta-lactamase	Beta-lactamase
PF00145.17	1	0.997014	2.9e-05	DNA_methylase	C-5 cytosine-specific DNA methylase
PF00147.18	126	79.339366	0.002377	Fibrinogen_C	Fibrinogen beta and gamma chains, C-terminal globular domain
PF00149.28	31	27.004901	0.000809	Metallophos	Calcineurin-like phosphoesterase
PF00151.19	3	1.776785	5.3e-05	Lipase	Lipase
PF00152.20	7	4.668789	0.000139	tRNA-synt_2	tRNA synthetases class II (D, K and N)
PF00153.27	114	91.814432	0.002751	Mito_carr	Mitochondrial carrier protein
PF00155.21	12	9.319559	0.000279	Aminotran_1_2	Aminotransferase class I and II
PF00156.27	7	4.754716	0.000142	Pribosyltran	Phosphoribosyl transferase domain
PF00157.17	7	5.166666	0.000154	Pou	Pou domain - N-terminal to homeobox domain
PF00159.18	4	3.657142	0.000109	Hormone_3	Pancreatic hormone peptide
PF00160.21	16	13.303797	0.000398	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00162.19	1	0.568783	1.7e-05	PGK	Phosphoglycerate kinase
PF00163.19	1	0.542168	1.6e-05	Ribosomal_S4	Ribosomal protein S4/S9 N-terminal domain
PF00164.25	3	1.561403	4.6e-05	Ribosom_S12_S23	Ribosomal protein S12/S23
PF00166.21	1	0.989247	2.9e-05	Cpn10	Chaperonin 10 Kd subunit
PF00167.18	2	1.68	5e-05	FGF	Fibroblast growth factor
PF00168.30	78	62.53398	0.001873	C2	C2 domain
PF00169.29	88	71.838095	0.002152	PH	PH domain
PF00170.21	12	7.78125	0.000233	bZIP_1	bZIP transcription factor
