#Accession	No_orfs	Coverage	Abundance	Name	Description
TIGR00002	1	0.948717	0.000349	TIGR00002	S16: ribosomal protein S16
TIGR00003	9	8.545454	0.003146	TIGR00003	TIGR00003: copper ion binding protein
TIGR00004	4	2.84	0.001045	TIGR00004	TIGR00004: reactive intermediate/imine deaminase
TIGR00005	4	2.560402	0.000942	TIGR00005	rluA_subfam: pseudouridine synthase, RluA family
TIGR00006	3	0.590322	0.000217	TIGR00006	TIGR00006: 16S rRNA (cytosine(1402)-N(4))-methyltransferase
TIGR00010	9	4.624505	0.001702	TIGR00010	TIGR00010: hydrolase, TatD family
TIGR00012	3	1.767857	0.00065	TIGR00012	L29: ribosomal protein L29
TIGR00019	1	0.983379	0.000362	TIGR00019	prfA: peptide chain release factor 1
TIGR00021	1	0.995412	0.000366	TIGR00021	rpiA: ribose 5-phosphate isomerase A
TIGR00027	3	1.316602	0.000484	TIGR00027	mthyl_TIGR00027: methyltransferase, TIGR00027 family
TIGR00032	1	0.974619	0.000358	TIGR00032	argG: argininosuccinate synthase
TIGR00037	2	1.253846	0.000461	TIGR00037	eIF_5A: translation elongation factor IF5A
TIGR00040	1	0.974683	0.000358	TIGR00040	yfcE: phosphodiesterase, MJ0936 family
TIGR00041	1	0.994897	0.000366	TIGR00041	DTMP_kinase: dTMP kinase
TIGR00042	1	0.826086	0.000304	TIGR00042	TIGR00042: non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family
TIGR00044	2	1.746724	0.000643	TIGR00044	TIGR00044: pyridoxal phosphate enzyme, YggS family
TIGR00049	3	1.698113	0.000625	TIGR00049	TIGR00049: iron-sulfur cluster assembly accessory protein
TIGR00051	1	0.581196	0.000213	TIGR00051	TIGR00051: acyl-CoA thioester hydrolase, YbgC/YbaW family
TIGR00052	1	0.526595	0.000193	TIGR00052	TIGR00052: nudix-type nucleoside diphosphatase, YffH/AdpP family
TIGR00054	2	0.619952	0.000228	TIGR00054	TIGR00054: RIP metalloprotease RseP
TIGR00055	3	1.596491	0.000587	TIGR00055	uppS: di-trans,poly-cis-decaprenylcistransferase
TIGR00057	1	0.70297	0.000258	TIGR00057	TIGR00057: tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family
TIGR00058	16	13.017391	0.004792	TIGR00058	Hemerythrin: hemerythrin family non-heme iron protein
TIGR00059	1	0.892857	0.000328	TIGR00059	L17: ribosomal protein L17
TIGR00060	1	0.570175	0.000209	TIGR00060	L18_bact: ribosomal protein L18
TIGR00062	2	0.92771	0.000341	TIGR00062	L27: ribosomal protein L27
TIGR00063	1	0.366666	0.000134	TIGR00063	folE: GTP cyclohydrolase I
TIGR00064	2	1.240143	0.000456	TIGR00064	ftsY: signal recognition particle-docking protein FtsY
TIGR00065	3	0.821529	0.000302	TIGR00065	ftsZ: cell division protein FtsZ
TIGR00066	18	6.210424	0.002286	TIGR00066	g_glut_trans: gamma-glutamyltransferase
TIGR00068	1	0.94	0.000346	TIGR00068	glyox_I: lactoylglutathione lyase
TIGR00071	2	1.93421	0.000712	TIGR00071	hisT_truA: tRNA pseudouridine(38-40) synthase
TIGR00080	5	2.111111	0.000777	TIGR00080	pimt: protein-L-isoaspartate O-methyltransferase
