#Accession	No_orfs	Coverage	Abundance	Name	Description
PF00001.21	419	299.882129	0.008127	7tm_1	7 transmembrane receptor (rhodopsin family)
PF00002.24	24	17.276422	0.000468	7tm_2	7 transmembrane receptor (Secretin family)
PF00003.22	32	21.907172	0.000593	7tm_3	7 transmembrane sweet-taste receptor of 3 GCPR
PF00004.29	54	41.462121	0.001123	AAA	ATPase family associated with various cellular activities (AAA)
PF00005.27	120	90.883211	0.002463	ABC_tran	ABC transporter
PF00006.25	7	3.812206	0.000103	ATP-synt_ab	ATP synthase alpha/beta family, nucleotide-binding domain
PF00007.22	2	0.828571	2.2e-05	Cys_knot	Cystine-knot domain
PF00008.27	1726	1438.375	0.038985	EGF	EGF-like domain
PF00009.27	20	16.298969	0.000441	GTP_EFTU	Elongation factor Tu GTP binding domain
PF00010.26	76	56.433962	0.001529	HLH	Helix-loop-helix DNA-binding domain
PF00011.21	27	20.823529	0.000564	HSP20	Hsp20/alpha crystallin family
PF00012.20	16	10.781302	0.000292	HSP70	Hsp70 protein
PF00013.29	51	45.757575	0.00124	KH_1	KH domain
PF00014.23	57	48.547169	0.001315	Kunitz_BPTI	Kunitz/Bovine pancreatic trypsin inhibitor domain
PF00015.21	3	0.837209	2.2e-05	MCPsignal	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00017.24	54	46.038961	0.001247	SH2	SH2 domain
PF00018.28	53	45.333333	0.001228	SH3_1	SH3 domain
PF00019.20	13	9.874999	0.000267	TGF_beta	Transforming growth factor beta like domain
PF00020.18	7	5	0.000135	TNFR_c6	TNFR/NGFR cysteine-rich region
PF00022.19	19	15.117936	0.000409	Actin	Actin
PF00023.30	84	48.6875	0.001319	Ank	Ankyrin repeat
PF00024.26	18	12.962025	0.000351	PAN_1	PAN domain
PF00025.21	23	16.748571	0.000453	Arf	ADP-ribosylation factor family
PF00026.23	2	1.990476	5.3e-05	Asp	Eukaryotic aspartyl protease
PF00027.29	71	44.808988	0.001214	cNMP_binding	Cyclic nucleotide-binding domain
PF00028.17	577	497.892473	0.013494	Cadherin	Cadherin domain
