mRNA	TSS_idx	CpGs_count	CpGoe	callCpGs_count	meth_meancallcov	meth_freq	meth_depth	meth_cov	LTR_boundary
ctg1028_pilon:159645..166165	-50	31	0.699653	30	58.66666667	0.03138457333	0.0448351	0.7	start
ctg1028_pilon:159645..166165	-49	26	0.637893	26	59.5	0.02900853077	0.0419012	0.692308	start
ctg1028_pilon:159645..166165	-48	18	0.459456	18	54.77777778	0.04132264444	0.057216	0.722222	start
ctg1028_pilon:159645..166165	-47	16	0.452737	16	52.125	0.059942575	0.0799234	0.75	start
ctg1028_pilon:159645..166165	-46	16	0.491515	16	50.625	0.06029453125	0.0803927	0.75	start
ctg1028_pilon:159645..166165	-45	14	0.457302	14	46.64285714	0.07883462143	0.0788346	1	start
ctg1028_pilon:159645..166165	-44	15	0.512388	15	47.66666667	0.07267808	0.0838593	0.866667	start
ctg1028_pilon:159645..166165	-43	16	0.525736	16	51	0.0559521875	0.0688642	0.8125	start
ctg1028_pilon:159645..166165	-42	16	0.549246	16	54	0.0581610375	0.0715828	0.8125	start
ctg1028_pilon:159645..166165	-41	15	0.532164	15	56.33333333	0.06223084667	0.0777886	0.8	start
ctg1028_pilon:159645..166165	-40	12	0.415784	12	59	0.06344179167	0.0845891	0.75	start
ctg1028_pilon:159645..166165	-39	12	0.398408	12	54.83333333	0.0649893	0.0708974	0.916667	start
ctg1028_pilon:159645..166165	-38	11	0.363112	11	54.45454545	0.08201155455	0.0820116	1	start
ctg1028_pilon:159645..166165	-37	10	0.335546	10	57	0.05813175	0.0581318	1	start
ctg1028_pilon:159645..166165	-36	8	0.273947	9	57.44444444	0.04680383333	0.0526543	0.888889	start
ctg1028_pilon:159645..166165	-35	11	0.368656	11	61.18181818	0.04562997273	0.050193	0.909091	start
ctg1028_pilon:159645..166165	-34	13	0.424637	13	65.23076923	0.03952042308	0.0513765	0.769231	start
ctg1028_pilon:159645..166165	-33	14	0.432531	15	62.93333333	0.03035002	0.045525	0.666667	start
ctg1028_pilon:159645..166165	-32	18	0.52963	18	65.27777778	0.02769452778	0.0498501	0.555556	start
ctg1028_pilon:159645..166165	-31	20	0.642491	21	64.52380952	0.0321503	0.0519351	0.619048	start
ctg1028_pilon:159645..166165	-30	17	0.502392	17	62.88235294	0.03318577059	0.0564158	0.588235	start
ctg1028_pilon:163679..166165	-50	17	0.485175	17	62.88235294	0.03318577059	0.0564158	0.588235	start
ctg1028_pilon:159645..166165	-29	12	0.403196	12	63.16666667	0.03614601667	0.0619646	0.583333	start
ctg1028_pilon:163679..166165	-49	11	0.370816	11	64.45454545	0.03943201818	0.0619646	0.636364	start
ctg1028_pilon:159645..166165	-28	8	0.287644	9	65.55555556	0.04329273333	0.0649391	0.666667	start
ctg1028_pilon:163679..166165	-48	8	0.305556	8	66.875	0.0396134125	0.0633815	0.625	start
ctg1028_pilon:159645..166165	-27	5	0.183569	5	61.6	0.0708478	0.0708478	1	start
ctg1028_pilon:163679..166165	-47	6	0.218814	6	60.16666667	0.06889885	0.0688988	1	start
ctg1028_pilon:159645..166165	-26	7	0.209027	7	54.71428571	0.0665307	0.0776191	0.857143	start
ctg1028_pilon:163679..166165	-46	8	0.233599	8	53.625	0.0582143625	0.0776191	0.75	start
ctg1028_pilon:159645..166165	-25	11	0.335661	11	56.90909091	0.04505141818	0.0707951	0.636364	start
