# Species	Genes	Alg.-Conn.	clean_P08H-3.faa	clean_Pec.faa	clean_R07B-5.faa
3	4	0.146	augustus-ctg32_pilon-processed-gene-8.57-mRNA-1	PE_Scaf954_4.0	maker-ctg5863_pilon-protein2genome-gene-0.1-mRNA-1,augustus-ctg540_pilon-processed-gene-0.3-mRNA-1
3	4	0.146	augustus-ctg875_pilon-processed-gene-1.63-mRNA-1	PE_Scaf4302_1.3	maker-ctg632_pilon-augustus-gene-2.1-mRNA-1,maker-ctg632_pilon-protein2genome-gene-2.36-mRNA-1
3	4	0.146	maker-ctg842_pilon-augustus-gene-0.27-mRNA-1	PE_Scaf1595_8.3	maker-ctg1110_pilon-protein2genome-gene-0.9-mRNA-1,maker-ctg2568_pilon-protein2genome-gene-0.6-mRNA-1
3	4	0.145	augustus-ctg338_pilon-processed-gene-7.31-mRNA-1	PE_Scaf9971_1.3,PE_Scaf7073_0.0	maker-ctg584_pilon-protein2genome-gene-2.48-mRNA-1
3	4	0.143	maker-ctg708_pilon-augustus-gene-1.90-mRNA-1,augustus-ctg64_pilon-processed-gene-3.24-mRNA-1	PE_Scaf1469_8.16	maker-ctg1581_pilon-protein2genome-gene-0.3-mRNA-1
3	4	0.142	augustus-ctg519_pilon-processed-gene-1.9-mRNA-1	PE_Scaf8411_0.13	maker-ctg959_pilon-protein2genome-gene-0.71-mRNA-1,maker-ctg757_pilon-protein2genome-gene-1.9-mRNA-1
3	4	0.141	augustus-ctg214_pilon-processed-gene-3.52-mRNA-1	PE_Scaf11984_4.2	augustus-ctg12_pilon-processed-gene-11.17-mRNA-1,maker-ctg799_pilon-est2genome-gene-4.0-mRNA-1
3	4	0.141	augustus-ctg23_pilon-processed-gene-4.15-mRNA-1	PE_Scaf12192_2.2	maker-ctg318_pilon-protein2genome-gene-4.53-mRNA-1,augustus-ctg318_pilon-processed-gene-4.35-mRNA-1
3	4	0.141	augustus-ctg93_pilon-processed-gene-1.35-mRNA-1	PE_Scaf525_7.1	maker-ctg1213_pilon-protein2genome-gene-0.20-mRNA-1,maker-ctg1213_pilon-protein2genome-gene-0.13-mRNA-1
3	4	0.141	augustus_masked-ctg649_pilon-processed-gene-1.30-mRNA-1	PE_Scaf11517_1.4	maker-ctg8433_pilon-protein2genome-gene-0.0-mRNA-1,maker-ctg322_pilon-protein2genome-gene-2.52-mRNA-1
3	4	0.14	augustus-ctg371_pilon-processed-gene-4.26-mRNA-1	PE_Scaf6803_0.2	maker-ctg545_pilon-protein2genome-gene-1.123-mRNA-1,maker-ctg820_pilon-protein2genome-gene-1.39-mRNA-1
3	4	0.139	augustus-ctg162_pilon-processed-gene-8.51-mRNA-1	PE_Scaf4194_2.4	augustus-ctg15_pilon-processed-gene-7.18-mRNA-1,maker-ctg15_pilon-protein2genome-gene-7.56-mRNA-1
3	4	0.139	augustus-ctg420_pilon-processed-gene-2.30-mRNA-1	PE_Scaf7341_8.6	augustus-ctg1903_pilon-processed-gene-0.0-mRNA-1,maker-ctg374_pilon-protein2genome-gene-2.15-mRNA-1
3	4	0.138	augustus-ctg169_pilon-processed-gene-1.5-mRNA-1	PE_Scaf1633_2.15,PE_Scaf1407_4.4	maker-ctg23_pilon-protein2genome-gene-1.30-mRNA-1
3	4	0.138	maker-ctg35_pilon-augustus-gene-7.19-mRNA-1	PE_Scaf7350_1.5	maker-ctg4204_pilon-protein2genome-gene-0.0-mRNA-1,maker-ctg106_pilon-protein2genome-gene-7.17-mRNA-1
3	4	0.138	maker-ctg427_pilon-augustus-gene-2.18-mRNA-1,augustus-ctg1561_pilon-processed-gene-0.11-mRNA-1	PE_Scaf11359_2.3	maker-ctg1667_pilon-protein2genome-gene-0.1-mRNA-1
3	4	0.136	augustus-ctg315_pilon-processed-gene-1.18-mRNA-1	PE_Scaf12633_0.4	maker-ctg326_pilon-protein2genome-gene-0.0-mRNA-1,maker-ctg326_pilon-protein2genome-gene-0.1-mRNA-1
3	4	0.136	maker-ctg20_pilon-augustus-gene-3.0-mRNA-1,augustus_masked-ctg121_pilon-processed-gene-1.14-mRNA-1	PE_Scaf5070_0.1	maker-ctg107_pilon-est_gff_est2genome-gene-1.33-mRNA-1
