#Accession	No_orfs	Coverage	Abundance	Name	Description
PF00001.21	511	405.479087	0.011154	7tm_1	7 transmembrane receptor (rhodopsin family)
PF00002.24	36	19.650406	0.00054	7tm_2	7 transmembrane receptor (Secretin family)
PF00003.22	32	21.312236	0.000586	7tm_3	7 transmembrane sweet-taste receptor of 3 GCPR
PF00004.29	58	43.825757	0.001205	AAA	ATPase family associated with various cellular activities (AAA)
PF00005.27	124	94.510948	0.002599	ABC_tran	ABC transporter
PF00006.25	6	4.300469	0.000118	ATP-synt_ab	ATP synthase alpha/beta family, nucleotide-binding domain
PF00007.22	1	0.771428	2.1e-05	Cys_knot	Cystine-knot domain
PF00008.27	921	784.125	0.02157	EGF	EGF-like domain
PF00009.27	26	18.747422	0.000515	GTP_EFTU	Elongation factor Tu GTP binding domain
PF00010.26	79	60	0.00165	HLH	Helix-loop-helix DNA-binding domain
PF00011.21	24	16.852941	0.000463	HSP20	Hsp20/alpha crystallin family
PF00012.20	21	12.207011	0.000335	HSP70	Hsp70 protein
PF00013.29	62	51.772727	0.001424	KH_1	KH domain
PF00014.23	38	31.018867	0.000853	Kunitz_BPTI	Kunitz/Bovine pancreatic trypsin inhibitor domain
PF00015.21	4	1.505813	4.1e-05	MCPsignal	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00017.24	63	51.103896	0.001405	SH2	SH2 domain
PF00018.28	66	56.75	0.001561	SH3_1	SH3 domain
PF00019.20	14	11.673076	0.000321	TGF_beta	Transforming growth factor beta like domain
PF00020.18	6	5.153846	0.000141	TNFR_c6	TNFR/NGFR cysteine-rich region
PF00022.19	18	13.312039	0.000366	Actin	Actin
PF00023.30	123	81.53125	0.002242	Ank	Ankyrin repeat
PF00024.26	90	56.696202	0.001559	PAN_1	PAN domain
PF00025.21	31	20.234285	0.000556	Arf	ADP-ribosylation factor family
PF00026.23	5	2.625396	7.2e-05	Asp	Eukaryotic aspartyl protease
PF00027.29	80	50.404494	0.001386	cNMP_binding	Cyclic nucleotide-binding domain
PF00028.17	627	549.172043	0.015107	Cadherin	Cadherin domain
PF00031.21	1	0.98913	2.7e-05	Cystatin	Cystatin domain
PF00034.21	1	0.967391	2.6e-05	Cytochrom_C	Cytochrome c
PF00035.26	28	21.552238	0.000592	dsrm	Double-stranded RNA binding motif
PF00036.32	357	276.827586	0.007615	EF-hand_1	EF hand
PF00037.27	2	1.208333	3.3e-05	Fer4	4Fe-4S binding domain
PF00038.21	21	12.753205	0.00035	Filament	Intermediate filament protein
PF00041.21	412	329.552941	0.009065	fn3	Fibronectin type III domain
PF00042.22	38	30.081818	0.000827	Globin	Globin
PF00043.25	7	3.376344	9.2e-05	GST_C	Glutathione S-transferase, C-terminal domain
