"busco_id"	"mRNA"	"genome"	"count"	"description"	"name"	"type"	"id"
"102804at33208"	"augustus-ctg112_pilon-processed-gene-5.101-mRNA-1"	"P08H-3"	407	"Peptidase M24"	"IPR000994"	"interpro"	"IPR000994"
"102804at33208"	"augustus-ctg112_pilon-processed-gene-5.101-mRNA-1"	"P08H-3"	408	"Domain of unknown function DUF1747"	"IPR013719"	"interpro"	"IPR013719"
"102804at33208"	"augustus-ctg112_pilon-processed-gene-5.101-mRNA-1"	"P08H-3"	429	"FACT complex subunit Spt16 domain"	"IPR013953"	"interpro"	"IPR013953"
"102804at33208"	"augustus-ctg112_pilon-processed-gene-5.101-mRNA-1"	"P08H-3"	400	"FACT complex subunit Spt16, N-terminal lobe domain"	"IPR029148"	"interpro"	"IPR029148"
"102804at33208"	"PE_Scaf5545_0.3"	"Pec"	407	"Peptidase M24"	"IPR000994"	"interpro"	"IPR000994"
"102804at33208"	"PE_Scaf5545_0.3"	"Pec"	408	"Domain of unknown function DUF1747"	"IPR013719"	"interpro"	"IPR013719"
"102804at33208"	"PE_Scaf5545_0.3"	"Pec"	429	"FACT complex subunit Spt16 domain"	"IPR013953"	"interpro"	"IPR013953"
"102804at33208"	"PE_Scaf5545_0.3"	"Pec"	400	"FACT complex subunit Spt16, N-terminal lobe domain"	"IPR029148"	"interpro"	"IPR029148"
"102804at33208"	"augustus-ctg80_pilon-processed-gene-5.43-mRNA-1"	"R07B-5"	407	"Peptidase M24"	"IPR000994"	"interpro"	"IPR000994"
"102804at33208"	"augustus-ctg80_pilon-processed-gene-5.43-mRNA-1"	"R07B-5"	408	"Domain of unknown function DUF1747"	"IPR013719"	"interpro"	"IPR013719"
"102804at33208"	"augustus-ctg80_pilon-processed-gene-5.43-mRNA-1"	"R07B-5"	429	"FACT complex subunit Spt16 domain"	"IPR013953"	"interpro"	"IPR013953"
"102804at33208"	"augustus-ctg80_pilon-processed-gene-5.43-mRNA-1"	"R07B-5"	400	"FACT complex subunit Spt16, N-terminal lobe domain"	"IPR029148"	"interpro"	"IPR029148"
"103854at33208"	"augustus-ctg606_pilon-processed-gene-3.4-mRNA-1"	"P08H-3"	449	"Clathrin, heavy chain/VPS, 7-fold repeat"	"IPR000547"	"interpro"	"IPR000547"
"103854at33208"	"maker-ctg114_pilon-protein2genome-gene-1.15-mRNA-1"	"R07B-5"	449	"Clathrin, heavy chain/VPS, 7-fold repeat"	"IPR000547"	"interpro"	"IPR000547"
"107151at33208"	"PE_Scaf10797_6.2"	"Pec"	447	"PRP1 splicing factor, N-terminal"	"IPR010491"	"interpro"	"IPR010491"
"107151at33208"	"maker-ctg54_pilon-augustus-gene-10.5-mRNA-1"	"P08H-3"	447	"PRP1 splicing factor, N-terminal"	"IPR010491"	"interpro"	"IPR010491"
"107574at33208"	"augustus-ctg1056_pilon-processed-gene-1.12-mRNA-1"	"R07B-5"	429	"TRAPP II complex, TRAPPC10"	"IPR022233"	"interpro"	"IPR022233"
"107574at33208"	"PE_Scaf10389_3.1"	"Pec"	429	"TRAPP II complex, TRAPPC10"	"IPR022233"	"interpro"	"IPR022233"
"107574at33208"	"maker-ctg93_pilon-est_gff_est2genome-gene-3.36-mRNA-1"	"P08H-3"	429	"TRAPP II complex, TRAPPC10"	"IPR022233"	"interpro"	"IPR022233"
"108764at33208"	"PE_Scaf1633_1.1"	"Pec"	414	"Tetratricopeptide repeat"	"IPR019734"	"interpro"	"IPR019734"
"108764at33208"	"augustus_masked-ctg13_pilon-processed-gene-3.43-mRNA-1"	"P08H-3"	414	"Tetratricopeptide repeat"	"IPR019734"	"interpro"	"IPR019734"
"108764at33208"	"maker-ctg1062_pilon-protein2genome-gene-0.73-mRNA-1"	"R07B-5"	414	"Tetratricopeptide repeat"	"IPR019734"	"interpro"	"IPR019734"
"109109at33208"	"augustus-ctg924_pilon-processed-gene-0.41-mRNA-1"	"P08H-3"	443	"Helicase/UvrB, N-terminal"	"IPR006935"	"interpro"	"IPR006935"
"109109at33208"	"augustus-ctg924_pilon-processed-gene-0.41-mRNA-1"	"P08H-3"	427	"Helicase XPB/Ssl2, N-terminal domain"	"IPR032830"	"interpro"	"IPR032830"
"109109at33208"	"augustus-ctg924_pilon-processed-gene-0.41-mRNA-1"	"P08H-3"	429	"Helicase, C-terminal"	"IPR001650"	"interpro"	"IPR001650"
"109109at33208"	"augustus-ctg924_pilon-processed-gene-0.41-mRNA-1"	"P08H-3"	449	"ERCC3/RAD25/XPB helicase, C-terminal domain"	"IPR032438"	"interpro"	"IPR032438"
"109109at33208"	"PE_Scaf622_3.6"	"Pec"	443	"Helicase/UvrB, N-terminal"	"IPR006935"	"interpro"	"IPR006935"
"109109at33208"	"PE_Scaf622_3.6"	"Pec"	427	"Helicase XPB/Ssl2, N-terminal domain"	"IPR032830"	"interpro"	"IPR032830"
"109109at33208"	"PE_Scaf622_3.6"	"Pec"	429	"Helicase, C-terminal"	"IPR001650"	"interpro"	"IPR001650"
"109109at33208"	"PE_Scaf622_3.6"	"Pec"	449	"ERCC3/RAD25/XPB helicase, C-terminal domain"	"IPR032438"	"interpro"	"IPR032438"
"109109at33208"	"maker-ctg364_pilon-protein2genome-gene-2.50-mRNA-1"	"R07B-5"	443	"Helicase/UvrB, N-terminal"	"IPR006935"	"interpro"	"IPR006935"
"109109at33208"	"maker-ctg364_pilon-protein2genome-gene-2.50-mRNA-1"	"R07B-5"	427	"Helicase XPB/Ssl2, N-terminal domain"	"IPR032830"	"interpro"	"IPR032830"
"109109at33208"	"maker-ctg364_pilon-protein2genome-gene-2.50-mRNA-1"	"R07B-5"	429	"Helicase, C-terminal"	"IPR001650"	"interpro"	"IPR001650"
"109109at33208"	"maker-ctg364_pilon-protein2genome-gene-2.50-mRNA-1"	"R07B-5"	449	"ERCC3/RAD25/XPB helicase, C-terminal domain"	"IPR032438"	"interpro"	"IPR032438"
"111730at33208"	"augustus-ctg381_pilon-processed-gene-2.111-mRNA-1"	"P08H-3"	306	"WD40 repeat"	"IPR001680"	"interpro"	"IPR001680"
"111730at33208"	"maker-ctg56_pilon-protein2genome-gene-4.17-mRNA-1"	"R07B-5"	306	"WD40 repeat"	"IPR001680"	"interpro"	"IPR001680"
"111730at33208"	"PE_Scaf10726_0.2"	"Pec"	306	"WD40 repeat"	"IPR001680"	"interpro"	"IPR001680"
"111746at33208"	"PE_Scaf11056_1.7"	"Pec"	462	"WD40 repeat"	"IPR001680"	"interpro"	"IPR001680"
"111746at33208"	"PE_Scaf11056_1.7"	"Pec"	440	"Small-subunit processome, Utp13"	"IPR013934"	"interpro"	"IPR013934"
"111746at33208"	"augustus-ctg26_pilon-processed-gene-15.93-mRNA-1"	"P08H-3"	462	"WD40 repeat"	"IPR001680"	"interpro"	"IPR001680"
"111746at33208"	"augustus-ctg26_pilon-processed-gene-15.93-mRNA-1"	"P08H-3"	440	"Small-subunit processome, Utp13"	"IPR013934"	"interpro"	"IPR013934"
"111746at33208"	"maker-ctg120_pilon-protein2genome-gene-1.10-mRNA-1"	"R07B-5"	462	"WD40 repeat"	"IPR001680"	"interpro"	"IPR001680"
