TIGR01958	PE_Scaf8449_0.8
TIGR04380	PE_Scaf9641_2.7
TIGR02521	PE_Scaf4035_2.6
TIGR02521	PE_Scaf4035_2.6
TIGR02521	PE_Scaf4035_2.6
TIGR00859	PE_Scaf12509_2.0
TIGR00599	PE_Scaf3853_0.7
TIGR00599	PE_Scaf3853_0.7
TIGR00599	PE_Scaf3853_0.7
TIGR03098	PE_Scaf8211_4.4
TIGR03098	PE_Scaf8211_4.4
TIGR03896	PE_Scaf2629_3.7
TIGR03896	PE_Scaf2629_3.7
TIGR02063	PE_Scaf699_1.27
TIGR02063	PE_Scaf699_1.27
TIGR02063	PE_Scaf699_1.27
TIGR00376	PE_Scaf699_1.27
TIGR00376	PE_Scaf699_1.27
TIGR00860	PE_Scaf6468_4.6
TIGR00863	PE_Scaf10217_1.3
TIGR00797	PE_Scaf6303_1.10
TIGR00797	PE_Scaf6303_1.10
TIGR00797	PE_Scaf6303_1.10
TIGR01198	PE_Scaf9682_1.7
TIGR02666	PE_Scaf812_7.2
TIGR02666	PE_Scaf812_7.2
TIGR01262	PE_Scaf2852_5.4
TIGR00859	PE_Scaf8688_0.1
TIGR00019	PE_Scaf2179_0.10
TIGR00232	PE_Scaf10833_1.13
TIGR00232	PE_Scaf10833_1.13
TIGR00464	PE_Scaf3545_1.3
TIGR01832	PE_Scaf2865_1.6
TIGR01923	PE_Scaf12577_3.2
TIGR01923	PE_Scaf12577_3.2
TIGR00958	PE_Scaf7465_0.5
TIGR01243	PE_Scaf4301_1.4
TIGR01241	PE_Scaf4301_1.4
TIGR00859	PE_Scaf5620_0.4
TIGR02168	PE_Scaf3741_0.4
TIGR02168	PE_Scaf3741_0.4
TIGR02168	PE_Scaf3741_0.4
TIGR01642	PE_Scaf9829_13.4
TIGR01642	PE_Scaf9829_13.4
TIGR01642	PE_Scaf9829_13.4
TIGR01661	PE_Scaf9829_13.4
TIGR01628	PE_Scaf9829_13.4
TIGR00221	PE_Scaf5414_2.18
TIGR01628	PE_Scaf10910_2.1
TIGR01628	PE_Scaf10910_2.1
TIGR01934	PE_Scaf183_2.2
TIGR00436	PE_Scaf1140_0.6
TIGR00436	PE_Scaf1140_0.6
TIGR00436	PE_Scaf1140_0.6
TIGR01389	PE_Scaf3149_3.4
TIGR00860	PE_Scaf9859_0.5
TIGR00958	PE_Scaf3726_1.4
TIGR00958	PE_Scaf3726_1.4
TIGR01083	PE_Scaf10839_3.4
TIGR03207	PE_Scaf3734_1.2
TIGR00864	PE_Scaf11208_0.1
TIGR00864	PE_Scaf11208_0.1
TIGR00128	PE_Scaf3419_4.6
TIGR00128	PE_Scaf3419_4.6
TIGR00128	PE_Scaf3419_4.6
TIGR03897	PE_Scaf5328_1.7
TIGR00861	PE_Scaf1549_0.4
TIGR03317	PE_Scaf1752_2.5
TIGR00528	PE_Scaf1752_2.5
TIGR03038	PE_Scaf7282_2.1
TIGR03038	PE_Scaf7282_2.1
TIGR03038	PE_Scaf7282_2.1
TIGR03038	PE_Scaf7282_2.1
TIGR03038	PE_Scaf7282_2.1
TIGR03038	PE_Scaf7282_2.1
TIGR03038	PE_Scaf7282_2.1
TIGR03038	PE_Scaf7282_2.1
TIGR03038	PE_Scaf7282_2.1
TIGR02340	PE_Scaf10982_1.16
TIGR01354	PE_Scaf3936_1.8
TIGR01661	PE_Scaf9526_4.4
TIGR01661	PE_Scaf9526_4.4
TIGR01648	PE_Scaf9526_4.4
TIGR00860	PE_Scaf10060_0.3
TIGR00132	PE_Scaf1040_7.7
TIGR00132	PE_Scaf1040_7.7
TIGR01657	PE_Scaf4772_5.3
TIGR02917	PE_Scaf2851_1.4
TIGR00324	PE_Scaf3707_2.14
TIGR02245	PE_Scaf2921_1.7
TIGR00860	PE_Scaf2203_0.1
TIGR00599	PE_Scaf3727_1.3
TIGR00058	PE_Scaf7902_1.15
TIGR00058	PE_Scaf7902_1.15
TIGR00599	PE_Scaf8700_5.6
TIGR01831	PE_Scaf10981_3.1
TIGR01831	PE_Scaf10981_3.1
TIGR01831	PE_Scaf10981_3.1
TIGR01016	PE_Scaf11275_5.14
TIGR00930	PE_Scaf12440_2.1
TIGR00930	PE_Scaf12440_2.1
TIGR00930	PE_Scaf12440_2.1
TIGR00930	PE_Scaf12440_2.1
TIGR00930	PE_Scaf12440_2.1
TIGR01305	PE_Scaf8449_0.7
TIGR03903	PE_Scaf10935_6.3
TIGR00115	PE_Scaf1121_5.0
TIGR03788	PE_Scaf9641_2.9
TIGR03788	PE_Scaf9641_2.9
TIGR02917	PE_Scaf10917_1.6
